"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개","알라딘표지","알라딘ISBN13","알라딘설명","알라딘카테고리ID","알라딘카테고리명"
"(웃기는 수학자 이광연의)수학 블로그","이광연","살림Friends(살림출판사)","2008","자료실","9788952209276 ","수학 블로그(웃기는 수학자 이광연의)(살림청소년 융합형 수학과학총서 시리즈)","이광연","","9788952209276","살림FRIENDS","2008-06-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F634338%3Ftimestamp%3D20220925174635","https://search.daum.net/search?w=bookpage&bookId=634338&q=%EC%88%98%ED%95%99+%EB%B8%94%EB%A1%9C%EA%B7%B8%28%EC%9B%83%EA%B8%B0%EB%8A%94+%EC%88%98%ED%95%99%EC%9E%90+%EC%9D%B4%EA%B4%91%EC%97%B0%EC%9D%98%29%28%EC%82%B4%EB%A6%BC%EC%B2%AD%EC%86%8C%EB%85%84+%EC%9C%B5%ED%95%A9%ED%98%95+%EC%88%98%ED%95%99%EA%B3%BC%ED%95%99%EC%B4%9D%EC%84%9C+%EC%8B%9C%EB%A6%AC%EC%A6%88%29","일상 속의 수학이야기를 통해 쉽게 수학에 접근할 수 있도록 구성한 책. 교과서뿐만 아니라 역사와 자연과학, 미술, 현대과학을 관통하는 수학을 이해하기 쉽게 설명한다. 문제 해결전략에서부터 창의적인 아이디어 방법에 이르기까지 상세하게 설명한다. 《수학 블로그》는 게임과 자연의 비밀, 역사의 명장면과 생활의 발견으로 나눠 구성했다.","https://image.aladin.co.kr/product/228/47/coversum/8952209273_1.jpg","9788952209276.0","교과서에 나오는 수학적 지식이 실은 우리와 아주 가까운 곳에서 늘 활용되고 있음을 청소년들에게 알려주는 책. 수학은 우리가 매일 걸어다니는 보도블록에도, 명절날 가족들이 모여 하는 윷놀이와 화투에도, 르네상스 시대의 명화에도, 최첨단 우주 망원경에도, 심지어는 아름다운 러브스토리에도 있는 것이다.","1143.0","국내도서>청소년>청소년 수학/과학"
"슐리만의 트로이 발굴기","마저리 브라이머;전하림","보물창고","2007","자료실","9788990794895 ","슐리만의 트로이 발굴기","마저리 브라이머","전하림","9788990794895","보물창고","2007-07-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1337112%3Ftimestamp%3D20220629025017","https://search.daum.net/search?w=bookpage&bookId=1337112&q=%EC%8A%90%EB%A6%AC%EB%A7%8C%EC%9D%98+%ED%8A%B8%EB%A1%9C%EC%9D%B4+%EB%B0%9C%EA%B5%B4%EA%B8%B0","10대에서 20대까지 성장을 거듭하는 청소년 세대를 위한『역사 보물창고』시리즈. 〈슐리만의 트로이 발굴기〉는 전설의 고대 도시 트로이를 발굴한 독일의 고고학자 하인리히 슐리만의 일생을 담은 평전이다. 슐리만은 어린 시절에 아버지에게 크리스마스 선물로 받은「어린이를 위한 세계사」라는 책을 읽고 트로이 유적을 발굴하겠다고 결심하였으며, 평생을 그 꿈을 이루는 데 바쳤다. 이 책은 슐리만의 다채로운 인간적인 면모와 드라마틱한 일생을 그리고 있다. 가난한 목사의 아들로 태어나 마침내 트로이를 발굴하기까지, 그의 일생에 드리워진 빛과 그림자를 고스란히 반영하였다. 호메로스의 서사시「일리아스」에서 문학적 허구로 존재하던 트로이가 한 소년의 가슴에서 역사적 현실로 되살아나고, 결국 실재하는 유물로 나타나는 과정을 통해 진정한 꿈의 의미를 일깨워준다. [양장본]","https://image.aladin.co.kr/product/93/97/coversum/8990794897_1.jpg","9788990794895.0","전설의 고대 도시 트로이를 발굴한 독일의 고고학자 하인리히 슐리만(1822~1890)의 일생을 담은 평전이다. 슐리만은 여덟 살이 될 무렵 아버지에게 크리스마스 선물로 받은 <어린이를 위한 세계사> 라는 책을 읽고 트로이 유적을 발굴하겠다는 뜻을 품었고, 평생을 그 꿈을 이루는 데 바친 인물이다.","1140.0","국내도서>청소년>청소년 역사"
"(과학이 밝히는)범죄의 재구성","박기원","살림Friends(살림출판사)","2008","자료실","9788952208040 ","과학이 밝히는 범죄의 재구성","박기원","","9788952208040","살림","2008-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F634373%3Ftimestamp%3D20230809171152","https://search.daum.net/search?w=bookpage&bookId=634373&q=%EA%B3%BC%ED%95%99%EC%9D%B4+%EB%B0%9D%ED%9E%88%EB%8A%94+%EB%B2%94%EC%A3%84%EC%9D%98+%EC%9E%AC%EA%B5%AC%EC%84%B1","과학수사에 관한 내용을 담은『과학이 밝히는 범죄의 재구성』. 이 책은 국립과학수사연구소에 근무하는 저자가 실제 벌어진 범죄 사건을 재구성해 수사하는 과정을 설명하면서 사건을 해결해가는 과정과 과학수사기법, 원리와 방법을 추리소설처럼 흥미롭게 풀어낸다. 《과학이 밝히는 범죄의 재구성》은 주인공인 앤과 큐 두 수사관을 통해 7가지 사건을 해결하는 과정을 담았다. 미궁에 빠진 사건들을 다양한 각도와 단서를 통해 진실을 밝혀내고 그 안에서 보여지는 과학의 흐름을 통해 과학을 쉽게 이해할 수 있도록 했다. 〈font color=""ff8c00""〉 〈/font〉 이 책은 현장감을 높이기 위해 실제 사건에서 수집된 사진과 생동감 넘치는 일러스트를 곁들여 이야기를 풀어내고 있다.","https://image.aladin.co.kr/product/184/8/coversum/8952208048_1.jpg","9788952208040.0","국립과학수사연구소 연구원인 저자가 실제로 벌어진 범죄 사건을 수사하는 과정을 설명하면서 이 사건을 해결하는 데 결정적이었던 과학수사 기법과 과학적 원리 및 방법을 추리소설처럼 쉽고 재미있게 소개하고 있다.","1143.0","국내도서>청소년>청소년 수학/과학"
"물은 답을 알고 있다","에모토,마사루;홍성민","더난출판","2008","자료실","9788984054356 ","물은 답을 알고 있다","에모토 마사루","홍성민","9788984054356","더난출판사","2008-03-27","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1176773%3Ftimestamp%3D20250309113117","https://search.daum.net/search?w=bookpage&bookId=1176773&q=%EB%AC%BC%EC%9D%80+%EB%8B%B5%EC%9D%84+%EC%95%8C%EA%B3%A0+%EC%9E%88%EB%8B%A4","물의 신비로운 현상과 마음속에 담아둔 저자의 생각과 파동론에 관한 이야기까지 설명한『물은 답을 알고 있다』. 이 책은 물에게 말을 들려주고 글씨를 보여주고 음악을 들려주었을 때 물이 보여주는 신비하고 놀라운 결과를 담았다. 《물은 답을 알고 있다》에서 저자는 120여 컷의 물 결정 사진을 곁들여 물은 생명이고 에너지의 전달매체이며 의식을 갖춘 존재라고 말하고 인간이 어떻게 살아야 할지에 대한 답을 알고 있는 존재라는 깨달음을 들려준다. 이 책은 2002년에 출간된 《물은 답을 알고 있다》의 개정판입니다.","https://image.aladin.co.kr/product/194/33/coversum/8984054356_1.jpg","9788984054356.0","물에게 말을 들려주고, 글씨를 보여주고, 음악을 들려주었을 때 물이 보여주는 놀라운 결과를 담았다. '사랑과 감사’를 듣고 본 물은 아름다운 결정을 만들고 '악마'라는 글을 보여준 물은 중앙이 검은 형상을 만들 듯 우리도 긍정적인 마음과 의식을 가지면 우리 몸속 물도 맑고 아름답게 정화된다.","51002.0","국내도서>과학>기초과학/교양과학"
"바이러스 도시","스티븐 존슨 지음;김명남 옮김","김영사","2008","자료실","9788934928782 ","바이러스 도시","스티븐 존슨","김명남","9788934928782","김영사","2008-04-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F518214%3Ftimestamp%3D20220817143734","https://search.daum.net/search?w=bookpage&bookId=518214&q=%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4+%EB%8F%84%EC%8B%9C","창발성 이론을 완성한 과학분야의 대가 스티븐 존스의 신작『바이러스 도시』. 콜레라균이 당시 세계 최대의 글로벌 도시였던 런던을 어떻게 엄습했고, 이 과정이 어떻게 도시 공중보건 시스템의 대변혁으로까지 이어졌는지 놀라운 흡인력과 탄탄한 극적 구성을 담은 논픽션 드라마이다. 1854년 런던에서 발생한 콜레라 발생 일주일 사이의 이야기를 소설의 형식을 빌려 구성한 것으로 런던의 마취 전문가인 존 스노 박사와 지역 주민들의 삶의 방식을 연민했던 화이트헤드 목사 두 명의 의학탐정이 콜레라의 뒤를 쫓는다. 당시 의료계 인사들이 유독한 공기를 통해 감염된다고 믿었던 콜레라에 관한 이론을 새롭게 정립하고 과학적으로 자료를 모아가는 과학적 역학 조사 과정을 한 편의 긴박한 스릴러로 보여준다. 저자는 이들의 이야기를 통해 도시 문명이 발달하고 의학이 발전할 수록 더 새롭게 진화하는 미지의 병원체에 대한 대응방식을 재정립하고 이 도시가 과연 안전한가를 돌아볼 수 있도록 했다.","https://image.aladin.co.kr/product/204/59/coversum/8934928786_1.jpg","9788934928782.0","19세기 중반 경 거대 교역도시 런던을 철저히 무력화시킨 콜레라의 발생과 전염, 소멸경로를 기록해 '감염지도'의 탄생과정을 복원하면서 오늘날 전지구적 난제로 떠오르고 있는 공중위생 문제를 파헤친다. 환경, 생태, 사회문화, 경제 등 다양한 학제를 가로지르며 전염병과 도시진화의 역학관계를 파헤친 교양과학서이다.","51094.0","국내도서>사회과학>환경/생태문제>환경문제"
"문더스트","앤드루 스미스 지음;이명현;노태복 옮김","사이언스북스","2008","자료실","9788983712172 ","문더스트","앤드루 스미스","이명현","9788983712172","사이언스북스","2008-04-08","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1166705%3Ftimestamp%3D20221011172919","https://search.daum.net/search?w=bookpage&bookId=1166705&q=%EB%AC%B8%EB%8D%94%EC%8A%A4%ED%8A%B8","아폴로 우주 계획에 참여했던 우주 비행사와 관계자들의 인터뷰를 모아 엮은『문더스트』. 1969년 발사된 아폴로 11호에서부터 72년 발사된 아폴로 17호에 이르기까지 아폴로 계획에 참가했던 이들을 통해 그들의 삶에 인류에 역사에 우주 계획이 미친 영향을 담았다. 또한 아폴로 계획에 대한 찬사와 비판, 음모가 난무했던 아폴로 우주인들의 내면 이야기와 그들이 지구 귀환 후에 밟아야 했던 인생의 궤적들도 돌아본다. 이를 통해 지구 궤도를 벗어나 깊은 우주에서 지구를 바라보고, 인류가 수백만 년 동안 동경해 왔던 달세계를 밟아 본 유일한 인간들의 진솔한 속내와 그들의 현재적, 실존적 상황, 그리고 아폴로 계획이라는 ‘쇼’의 사회적, 문화적 맥락을 가감 없이 드러낸다.","https://image.aladin.co.kr/product/204/9/coversum/8983712171_1.jpg","9788983712172.0","아폴로 우주 계획에 참여했던 우주 비행사들과 관계자들의 인터뷰를 엮었다. 미국 출신의 영국인 프리랜서 작가인 앤드루 스미스(Andrew Smith)는 지구 궤도를 벗어나 깊은 우주에서 지구를 바라보고, 인류가 수백만 년 동안 동경해 왔던 달세계를 밟아 본 유일한 인간들의 진솔한 속내와 그들의 현재적, 실존적 상황, 그리고 아폴로 계획이라는 ‘쇼’의 사회적, 문화적 맥락을 가감 없이 드러낸다.","51307.0","국내도서>과학>천문학>쉽게 배우는 우주"
"(민훈기의)메이저리그 메이저리거","민훈기","미래를 소유한 사람들","2008","자료실","9788962170047 ","메이저리그, 메이저리거","민훈기","","9788962170047","미래를소유한사람들","2008-06-24","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F862933%3Ftimestamp%3D20240525113033","https://search.daum.net/search?w=bookpage&bookId=862933&q=%EB%A9%94%EC%9D%B4%EC%A0%80%EB%A6%AC%EA%B7%B8%2C+%EB%A9%94%EC%9D%B4%EC%A0%80%EB%A6%AC%EA%B1%B0","미국은 가히 ‘스포츠의 천국’이다. 미국인들은 이렇게 수많은 스포츠 종목 중에서도 메이저리그 야구(MLB)를 ‘전 국민의 여가놀이(national pastime)’라고 부를 만큼 애정을 보이고 있다. 그만큼 대중적이고 사람들의 생활에 깊이 파고들어 있는 스포츠가 바로 프로야구다. 메이저리그를 모르고서는 미국의 역사와 문화는 물론 미국인들 자체를 이해하기 힘든데, 스포츠라기보다는 그들에겐 야구가 삶의 일부분이기 때문이다. 이 책은 한국 언론 최초의 메이저리그 전문기자로 활약해온 저자의 20여 년에 걸친 취재의 결과물을 담은 것으로, 수백 명이 넘는 미국 야구 영웅들의 이야기와 역사속의 흥미로운 사건과 경기, 기록들이 모두 실려 있다. 1990년부터 스포츠조선의 미주 특파원을 지내며 한국인 최초의 메이저리거인 박찬호의 LA다저스 입단식과 맹활약하던 시절, 김병현과 서재응, 김선우, 봉중근, 최희섭, 추신수 등 우리 선수들의 미국 프로야구 도전을 현장에서 취재했다. 저자는 네이버 MLB 코너에 65회에 걸쳐 연재한 칼럼과 함께 70명이 넘는 주요 인물들의 이야기를 새롭게 보강해 인물과 사건이 어우러진, 200년이 넘는 미국 프로야구의 역사를 정리했다. 야구를 좋아하는 사람들은 물론 미국의 스포츠 역사나 문화에 관심이 있는 사람들도 이 책을 통해 도움을 받을 수 있을 것이다.","https://image.aladin.co.kr/product/222/70/coversum/8962170043_1.jpg","9788962170047.0","야구를 통해 본 미국, 미국인, 미국의 문화사. 한국 언론 최초 메이저리그 전문기자로 활약해온 저자의 20여 년에 걸친 취재의 결과물이다. 네이버 MLB 코너에 65회에 걸쳐 연재한 칼럼과 함께 미국 야구를 만들어온 70명이 넘는 주요 인물들의 이야기를 새롭게 보강해 인물과 사건이 어우러진, 200년이 넘는 미국 프로야구의 역사를 정리했다.","54710.0","국내도서>건강/취미>구기>야구"
"타고난 반항아","프랭크 설로웨이 지음;정병선 옮김","사이언스 북스","2008","자료실","9788983712219 ","타고난 반항아(사이언스 클래식 12)(양장본 HardCover)","프랭크 설로웨이","정병선","9788983712219","사이언스북스","2008-05-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1170121%3Ftimestamp%3D20220930234421","https://search.daum.net/search?w=bookpage&bookId=1170121&q=%ED%83%80%EA%B3%A0%EB%82%9C+%EB%B0%98%ED%95%AD%EC%95%84%28%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4+%ED%81%B4%EB%9E%98%EC%8B%9D+12%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29","『사이언스 클래식』12권《타고난 반항아》. 인류 역사를 바꾼 혁명적 사건의 주역들의 전기적 자료를 통해 출생순서와 가족 관계, 창조성에 관하여 설명한다. 과학사학자이자 진화생물학자인 프랭크 설로는 인류 사고방식에 대변혁을 갖고 오는 혁신 사상을 내놓는 사람과 그것을 반대하는 사람들에 대한 내용을 방대한 역사적 자료를 통해 출생 순서 효과와 가족 역학이라는 새로운 답을 제시한다. 《타고난 반항아》에서는 찰스 다윈의 '분화의 원리'를 가족 안으로 끌어들여 부모의 보살핌이라는 동일한 자원을 놓고 경쟁을 벌이는 형제들 또한 성장하면서 자신만의 전략을 구사한다고 주장한다. 그 결과 맏이들은 권력 및 권위와 자신을 강하게 동일시하며 체제 순응적이고 보수적인 반면 동생은 모험적이고 창조적이며 반항적인 성향을 보인다고 말한다.","https://image.aladin.co.kr/product/213/7/coversum/898371221x_1.jpg","9788983712219.0","종교 개혁 등 121개의 역사적 사건과 진화론 등 28가지 과학 혁신, 그리고 이들에 개입된 6,566명의 전기적 자료를 바탕으로 인류 역사를 바꾼 주역들은 후순위 출생자, 즉 가족 내 동생들이며, 그 반대편에 선 인물들은 맏이들이었음을 밝힌다. 이러한 개인의 성격, 더 나아가 사회적 위치의 차이가 장구한 인간 진화의 역사 동안 자연선택에 의해 연마된 출생 순서 효과에 따른 것임을 증명한다.","51002.0","국내도서>과학>기초과학/교양과학"
"살았더라면","티에리 코엔;김민정","밝은 세상","2007","자료실","9788984370838 ","살았더라면","티에리 코엔","김민정","9788984370838","밝은세상","2007-10-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1185276%3Ftimestamp%3D20220714040346","https://search.daum.net/search?w=bookpage&bookId=1185276&q=%EC%82%B4%EC%95%98%EB%8D%94%EB%9D%BC%EB%A9%B4","현실과 허상, 저승과 이승 사이에서 방황을 거듭하는 한 남자의 생애를 그려낸 프랑스 작가 티에리 코엔의 데뷔작. 한 여인을 지고지순하게 사랑한 주인공 제레미는 구애를 거부당하자 자살을 기도한다. 2001년 5월 8일, 제레미의 스무 번째 생일에 벌어진 일이다. 이어지는 장면에서 제레미는 사랑하는 빅토리아 곁에서 눈을 뜬다. 날짜는 2002년 5월 8일. 주인공이 어리둥절한 가운데 이야기는 빠른 속도로 전개된다. 제레미는 지난 일 년 동안 무슨 일이 벌어졌는지 전혀 기억하지 못하는 채로 사랑하는 여인 옆에서 눈을 뜬다. 하지만 그 환상적인 행복은 잠시뿐, 밤이 오자 그는 별안간 무력감에 빠지고 곧이어 이상야릇한 환영을 보면서 혼수상태와도 같은 잠 속에 빠져든다. 다시 눈을 떴을 때 그의 곁에는 아기가 잠들어 있다. 때는 2004년 5월 8일. 모르는 사이 다시 2년이라는 시간이 훌쩍 지났고, 빅토리아와 결혼한 그는 한 아이의 아버지가 되어 있다. 44년이라는 세월 동안 제레미는 잠들었다 깨어나기를 아홉 번 되풀이한다. 깊은 잠에 빠졌다가 눈을 뜨면 시간은 저만치 달아나 있고, 눈앞에는 감당하기 힘든 악몽이 펼쳐져 있다. 제레미가 잠든 사이 냉혹하고 잔인하고 이기적이며 파렴치한 또 다른 제레미가 빅토리아를 비롯한 주변 사람들에게 갖은 악행을 저지르는 것. 사랑하는 빅토리아와 두 아들, 부모님에게까지 인간 망종으로 취급받게 된 제레미는 본연의 그 자신으로 돌아오는 아홉 번의 기회를 통해 사랑하는 사람들을 구해내고자 노력하는데….","https://image.aladin.co.kr/product/98/87/coversum/8984370835_2.jpg","9788984370838.0","'살아있음을 축복하는 환희의 찬가'라 할 수 있는 소설. 프랑스 작가 티에리 코엔의 데뷔작으로, 현실과 허상, 저승과 이승 사이에서 방황을 거듭하는 한 남자의 생애를 이야기한다. 마치 신곡에서의 '단테'처럼 지상지옥을 경험하는 동안, 주인공은 점차 한순간의 선택이 얼마나 무서운인 결과를 초래할 수 있는지 깨닫는다.","50921.0","국내도서>소설/시/희곡>프랑스소설"
"사파리 사이언스","조수영","효형출판","2008","자료실","9788958720584 ","사파리 사이언스","조수영","","9788958720584","효형출판","2008-04-21","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F787553%3Ftimestamp%3D20220630101855","https://search.daum.net/search?w=bookpage&bookId=787553&q=%EC%82%AC%ED%8C%8C%EB%A6%AC+%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4","표범은 없고 눈만 있는 킬리만자로 정상, 니모 아빠는 여자라는 말도 안되는 이유와 빅토리아 폭포에서 지구의 중심을 향해 뛰어들고, 남극 신사 펭귄이 케이프 반도까지 내려온 사연, 화려한 다이아몬드의 슬픈 역사는 과연 어떤 것일까? 아프리카 곳곳에서 사파리 사이언스를 펼쳐 보인 이 책은 과학 교사인 저자가 아프리카의 뛰어난 자연환경을 통해 가난과 질병으로 고통받는 불행한 나라라는 불편한 시선을 거두고 거대한 아프리카 대륙의 다양성을 직접 확인하고 사기도 당하는 좌충우돌 여행기를 담았다. 《사파리 사이언스》적의 공격이 두려워 목이 길어 슬픈 기린의 이야기를 다윈의 자연선택설과 라마르크의 용불용설이론을 들려주고 그것이 틀린 예시임을 알려주고 탄자니아를 출발해 잠비아까지 가는 기차여행을 통해 기차에만 안전벨트가 없는 이유를 관성력과 가속도의 변화 등 과학적 개념을 이해하기 쉽게 알려준다. 케냐를 출발해 탄자니아, 잠비아, 짐바브웨, 남아프리카 공화국과 나미비아에 이르는 한달간의 여정에서 아이들과의 야외 수업을 상상하며 적자생존의 자연법칙과 자연 순리를 배우고 아프리카에 대한 편견을 벗겨내려는 노력도 함께 보여준다.","https://image.aladin.co.kr/product/201/43/coversum/8958720581_1.jpg","9788958720584.0","아프리카 탐험을 통해 과학 개념을 배우는 특별한 여행기. 12년간 학교에서 아이들에게 과학을 가르치고 방학 때마다 전세계 각국을 여행해온 현직 교사가 아프리카를 한 달 동안 여행하며 그 안에서 발견한 '과학'과 '아프리카 여행'의 짜릿한 만남을 풀어놓았다.","1143.0","국내도서>청소년>청소년 수학/과학"
"X염색체의 복수","올리비에 포스텔비네이","기린원","2008","자료실","9788943903244 ","X 염색체의 복수(양장본 HardCover)","올리비에 포스텔 비네이","이화숙","9788943903244","기린원","2008-05-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F590971%3Ftimestamp%3D20220107160058","https://search.daum.net/search?w=bookpage&bookId=590971&q=X+%EC%97%BC%EC%83%89%EC%B2%B4%EC%9D%98+%EB%B3%B5%EC%88%98%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29","남녀 차이를 생물학과 문화인류학을 통해 논의한 책. 사람의 뇌에 각인된 문화적 편견을 규명하여 건전한 남녀관계를 제시한다. 《X 염색체의 복수》는 20세기 초 여성 생물학자 네티 스티브가 Y 염색체를 발견하는 과정과 함께 자연 법칙에 의한 여자는 남자 없이도 살 수 있는 가능성, 인간의 원형이 아담이 아닌 이브라는 분석과 여성의 체세포와 남성 체세포의 차이가 주는 역학 관계 등을 살핀다. 또한 암컷이 수컷보다 강한 이유와 남녀의 뇌 차이, 남녀의 능력은 차이인지 차별인지, 침팬지와 보노보를 통한 남성 지배 문화의 진실, 문화의 진화와 권력 이동의 자연진화 관계도 함께 설명한다. 이 책에서 저자는 남녀의 관계는 상반되거나 대립되는 것이 아니라 서로를 인정하고 부족한 부분을 보완하면서 미래 지향적인 건전한 남녀 관계를 제시한다.","https://image.aladin.co.kr/product/219/26/coversum/8943903243_1.jpg","9788943903244.0","","51205.0","국내도서>과학>생명과학>생명과학"
"잊혀진 조상의 그림자","칼 세이건;앤 드루얀","사이언스 북스","2008","자료실","9788983712226 ","잊혀진 조상의 그림자(사이언스 클래식 13)(양장본 Hardcover)","칼 세이건, 앤 두르얀","김동광","9788983712226","사이언스북스","2008-05-01","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1165897%3Ftimestamp%3D20221011173039","https://search.daum.net/search?w=bookpage&bookId=1165897&q=%EC%9E%8A%ED%98%80%EC%A7%84+%EC%A1%B0%EC%83%81%EC%9D%98+%EA%B7%B8%EB%A6%BC%EC%9E%90%28%EC%82%AC%EC%9D%B4%EC%96%B8%EC%8A%A4+%ED%81%B4%EB%9E%98%EC%8B%9D+13%29%28%EC%96%91%EC%9E%A5%EB%B3%B8+Hardcover%29","『사이언스 클래식』13권《잊혀진 조상의 그림자》. 이 책은 세계적인 천문학자 칼 세이건과 그의 아내이자 과학 다큐멘터리 제작자인 앤 드루얀이 함께 쓴 것으로 인류 자신의 정체성에 대한 내용을 담았다. 《잊혀진 조상의 그림자》는 오랫동안 종교와 과학적으로 고민한 인간 정체성에 관한 이야기를 과학적 버전으로 답하여 정리한 것으로 우주론과 진화론적 관점에서 파헤친다. 최초의 생명 탄생에서부터 현생 인류가 침팬지와 진화적으로 갈라질 때까지의 장대한 생명의 역사를 추적하고 인간 행동과 폭력성, 이기주의에 대한 기원도 함께 추적한다. 또한 DNA의 기본 원리와 40억 년 가까운 생명 진화의 이야기를 하나하나 짚어가고, 조상들의 흔적과 현생 인류와의 연결 고리를 찾아 간다.","https://image.aladin.co.kr/product/213/21/coversum/8983712228_1.jpg","9788983712226.0","오랫동안 종교와 철학의 영역에 속해 있었던 '인류는 어디에서 와서 어디로 가는가'라는 질문을 우주론과 진화론의 관점에서 파헤친다. 그리고 이 과정에서 물리학, 분자 생물학, 진화 생물학, 진화 심리학, 인류학이 한데 어우러진 통합적인 세계관, 인간에 대한 관점을 소개한다.
","51205.0","국내도서>과학>생명과학>생명과학"
"(온 가족이 함께 읽는)중국 역사이야기. 4. 4","박덕규","일송북","2008","자료실","9788957320778 ","중국역사이야기 4(합본)","박덕규","","9788957320778","일송북","2008-02-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F756714%3Ftimestamp%3D20240315113538","https://search.daum.net/search?w=bookpage&bookId=756714&q=%EC%A4%91%EA%B5%AD%EC%97%AD%EC%82%AC%EC%9D%B4%EC%95%BC%EA%B8%B0+4%28%ED%95%A9%EB%B3%B8%29","중국 역사를 쉽고 재미있는 이야기로 엮은 역사서 〈온 가족이 함께 읽는 중국역사이야기〉 시리즈. 그동안 꾸준한 사랑을 받아온 기존의 시리즈를 합본하여 새롭게 출간한 것이다. 권수가 많아 불편하다는 독자들의 지적에 따라, 14권을 4권의 소장본으로 묶고 고급 장정으로 만들었다. 중국 역사와 인물들을 깊이 있게 만날 수 있는 기회를 제공한다. 이 시리즈는 중국의 전체 역사를 시대별 및 왕조별로 나누어, 각 시대의 중요한 역사적 사실과 인물들에 관한 이야기를 다루고 있다. 초등학생에서부터 어른에 이르기까지 온 가족이 함께 읽을 수 있도록 쉬운 문체로 풀어 썼으며, 우리가 살아가는 데 교훈을 얻을 수 있는 풍부한 이야기들도 전해준다. 또한 곳곳에 삽화를 실어 이야기의 생생함을 살리고 있다. 여기에는 우리나라에 아직 소개가 안된 인물이나, 이미 소개된 인물이지만 그동안 몰랐던 새로운 면모를 살펴볼 수 있는 에피소드도 담겨 있다. 특히 시인이자 소설가이며 국내 최초로 소설로 박사학위를 받은 박덕규 교수가 편저자가 참여하여 내용의 권위를 높였다. 제4권에서는 명청시대의 역사와 인물들을 만날 수 있다. [양장본]","https://image.aladin.co.kr/product/203/79/coversum/8957320776_1.jpg","9788957320778.0","《온 가족이 함께 읽는 중국 역사 이야기》총 14권을 고급 장정 4권으로 묶었다. 국 전체 역사를 시대별 왕조별로 나누어 그 시대의 중요한 역사적 사실과 인물들에 관해 이야기로 엮었다. 우리나라 독자들에게는 덜 알려졌지만 우리가 알아두면 좋을 중요한 인물들도 수록되어 있으며 쉽고 재미있게 썼다.","1962.0","국내도서>역사>중국사>중국사 일반"
