book_id,title,author,publisher,year,call_number,isbn,image_url,description,category
9951,한국어 화용표지 연구,문병우,국학자료원,2002,715 문44ㅎ,8982066756,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1143152%3Ftimestamp%3D20240313113504,"연구서. 현대 국어의 특성을 보여주는 '-요'와 그 방언 형태의 사용 실태를 알아보고, '-요'와 '-요'방언 형태의 기원과 형태구조에 대해 구체적으로 서술했다. 아울러 '-요'와 '-요' 방언 형태의 형태론적 특성과 실현 양상, 기능, 문법 범주에 대해서도 일목요연하게 다뤘다.","['대학교재/전문서적', '어문학계열', '국어국문학', '의미론/화용론']"
9952,"조선 왕실의 의례와 생활, 궁중문화",신명호,돌베개,2002,911.05 신34ㅈ,8971991399,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F994608%3Ftimestamp%3D20241029115858,"일반인을 위한 한국문화사 교양서. 조선의 궁중 문화는 500년 왕조사의 핵심이면서, 유교 통치, 예술 문화의 정수다. 조선시대 역사와 문화의 중심축을 이루었던 궁중 문화를 왕과 왕비의 삶, 그리고 이들을 둘러싼 궁중 의례와 제도 등을 중심으로 흥미롭게 살피고 있다.","['인문학', '문화/문화이론', '한국학/한국문화', '한국문화유산']"
9953,아비뇽의 여자들,이청해,이룸,2001,813.6 이83ㅇ,8987905365,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1265207%3Ftimestamp%3D20230905191413,"1991년 단편 <하오>로 <문학사상> 신인상에 당선, 같은 해 단편 <빗소리>를 <세계의 문학>에 발표하면서 작품활동을 시작한 여류 소설가의 장편소설. 오늘을 살아가는 다섯 여성들의 삶을 사실적으로 묘사한 작품이다. 다섯명의 여인이 수영장에서 우연히 만나 가까워지게 된다. 그러던 어느날 한 여인이 다른 여인을 자신의 집으로 초대하고, 그 집의 정원에서 함께 사진을 찍는다.이 사진의 구도가 마치 피카소가 그린 아비뇽의 여자들과 흡사해 이들은 자신들의 그림속 여인들과 비교하는데.","['소설/시/희곡', '한국소설', '2000년대 이후 한국소설']"
9954,이슬람 문명,정수일,창작과비평사,2002,918 정56ㅇ,8936470779,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533281%3Ftimestamp%3D20240904113800,"문명교류사의 권위자인 정수일씨가 '신동아'에 연재한 글을 수정, 보완한 책. 이슬람 문명은 전세계 60여개국, 13억의 무슬림을 보유한 거대한 문명으로 지금 이 시점에도 놀라운 속도로 확산되고 있다. 총 13장으로 구성되어있는 이 책은 이슬람문명의 근간인 이슬람교와 이슬람문명의 여러 영역에 대한 소개를 담고 있다. 각 장의 내용에 맞춰 실린 110여컷의 생생한 화보와 이슬람사 연표, 이슬람력과 서력 대조표 등을 통해 이슬람 문명에 대한 더욱 쉬운 이해가 가능하다.","['인문학', '문화/문화이론', '문명/문명사']"
9955,문학교육원론,김대행,서울대학교출판부,2002,807 김23ㅁ,8952101529,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F631673%3Ftimestamp%3D20230227051318,"문학교육의 본질과 지표를 시작으로 문학교육을 위한 전반적 내용을 기술한 저서. 문학교육이란 무엇이며 문학교육의 목표는 무엇인지를 소개하고 문학의 속성과 문학의 표현양식, 문학의 맥락과 문학교육,문학교수 학습의 실천방법을 제시했다.","['대학교재/전문서적', '사범계열', '교과교육론', '국어교육 전공']"
9956,달라이 라마의 행복론,달라이 라마;하워드 커틀러 ; 류시화 옮김,김영사,2001,229 라32ㄷ,8934908114,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F517762%3Ftimestamp%3D20250401113650,"달라이 라마가 하워드 커틀러라는 미국의 저명한 정신과 의사와 행복이라는 주제로 대화한 것을 묶은 책. 명상과 예화, 불교와 심리학의 만남을 통하여, 우리로 하여금 인간관계, 건강, 가정, 직업, 우울함, 걱정, 분노, 질투 등을 이야기하면서 어떻게 인생의 난관을 헤쳐나가면서도 내적인 깊은 평안함을 간직할 수 있는가를 보였다. 아울러 달라이라마의 깊은 진리의 말들을 커틀러 박사는 자신이 다루었던 과학적인 연구자세를 첨가하여 가히 혁명적인 심리학이라고 할 수 있을 만큼 달라이라마 가까이서 행복의 진정한 의미와 일상 생활 속에서 그것을 막고 있는 원인이 무엇인지를 자세히 분석했다.","['종교/역학', '불교', '티베트 불교', '달라이 라마']"
9957,해리포터와 아즈카반의 죄수. 3-Ⅱ,조앤.K. 롤링 [지음] ; 김혜원 [옮김],문학수첩,2000,843 롤298ㅎ v.3-2,8983920734,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1168789%3Ftimestamp%3D20230728203358,"1999년 영국의 우수도서상 등을 수상한 작품. 고아소년 해리 포터가 친척집에 맡겨져 천대받다가 마법 학교에 입학하면서 마법사 세계의 영웅이 된다는 줄거리를 담았다. 꼬마 마법사 해리포터와 아즈카반 죄수들과의 흥미있는 이야기를 담았다. 상,하","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
9958,해리포터와 아즈카반의 죄수. 3-Ⅰ,조앤.K.롤링 지음,문학수첩,2001,843 롤298ㅎ v.3-1,9788980000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1169692%3Ftimestamp%3D20230728194012,"1999년 영국의 우수도서상 등을 수상한 작품. 고아소년 해리 포터가 친척집에 맡겨져 천대받다가 마법 학교에 입학하면서 마법사 세계의 영웅이 된다는 줄거리를 담았다. 꼬마 마법사 해리포터와 아즈카반 죄수들과의 흥미있는 이야기를 담았다. 상,하","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
9959,해리포터와 불의 잔. 제4권: Ⅳ,조앤.K.롤링 지음,문학수첩,2001,843 롤298ㅎ v.4-4,9788980000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1170460%3Ftimestamp%3D20230728190249,"해리포터의 어린 시절을 다룬 전편과 달리 사춘기에 접어든 주인공들의 우정과 사랑이 어우러진 이야기. 해리포터와 불의 잔 제4권은 바야흐로 '해리포터 시리즈'의 성장기에 해당된다. 해리포터는 케트릭 디고리, 플뢰르 델라쿠르, 빅터 크룹과 더불어 마법학교 대항전인 트리위저드 시합에서 챔피언으로 선발된다. 네명의 챔피언들은 용과 인어 그리고 미로를 통과하는 트리위저드 시합을 통해 용기와 미덕, 지혜를 겨루게 되고 독자들은 마법의 세계로 이끌리는데...","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
9960,해리포터와 불의 잔. 제4권: Ⅲ,조앤.K.롤링 지음,문학수첩,2001,843 롤298ㅎ v.4-3,9788980000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1168708%3Ftimestamp%3D20230728175801,"해리포터의 어린 시절을 다룬 전편과 달리 사춘기에 접어든 주인공들의 우정과 사랑이 어우러진 이야기. 해리포터와 불의 잔 제4권은 바야흐로 '해리포터 시리즈'의 성장기에 해당된다. 해리포터는 케트릭 디고리, 플뢰르 델라쿠르, 빅터 크룹과 더불어 마법학교 대항전인 트리위저드 시합에서 챔피언으로 선발된다. 네명의 챔피언들은 용과 인어 그리고 미로를 통과하는 트리위저드 시합을 통해 용기와 미덕, 지혜를 겨루게 되고 독자들은 마법의 세계로 이끌리는데...","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
9961,해리포터와 불의 잔. 제4권: Ⅱ,조앤.K.롤링 지음,문학수첩,2001,843 롤298ㅎ v.4-2,9788980000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1172464%3Ftimestamp%3D20230728185010,"해리포터의 어린 시절을 다룬 전편과 달리 사춘기에 접어든 주인공들의 우정과 사랑이 어우러진 이야기. 해리포터와 불의 잔 제4권은 바야흐로 '해리포터 시리즈'의 성장기에 해당된다. 해리포터는 케트릭 디고리, 플뢰르 델라쿠르, 빅터 크룹과 더불어 마법학교 대항전인 트리위저드 시합에서 챔피언으로 선발된다. 네명의 챔피언들은 용과 인어 그리고 미로를 통과하는 트리위저드 시합을 통해 용기와 미덕, 지혜를 겨루게 되고 독자들은 마법의 세계로 이끌리는데...","['소설/시/희곡', '판타지/환상문학', '외국판타지/환상소설']"
