book_id,title,author,publisher,year,call_number,isbn,image_url,description,category
5012,로지코믹스,"아포스톨로스 독시아디스, 크리스토스 H. 파파디미트리우 공지음; 알레코스 파파다토스, 애니 디 도나 공그림; 전대호 옮김",랜덤하우스코리아,2011,410.4 독58ㄹ전,9788930000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F413880%3Ftimestamp%3D20250110113723,"『로지코믹스』는 컴퓨터 발명의 뿌리가 된 미완성 고전 ‘수학원리’의 집필자 러셀이 수리논리학자로 세기를 풍미하기까지의 여정을 컬러 만화로 흥미롭게 그려낸 책이다. 소년 시절, 불확실한 세상사에 호기심을 억누를 수 없었던 러셀은 절대적인 이성과 확실성의 세계인 ‘수학’을 발견하고 환희를 느낀다. 하지만 기하학의 공리에 심각한 의심을 품고부터 수학의 확실성이 흔들리자, 논리학으로 완전무결한 수학의 토대를 확립하여 절대적 진리를 찾고자 한다. 러셀은 이러한 과정에서 세계대전을 겪고 여러 가지 사건을 겪으며 자신을 몰아붙인다. 러셀이 스스로 선택한 사명은 러셀의 연구와 사생활을 모두 위태롭게 하며 그를 정신병의 문턱까지 내모는데….","['인문학', '서양철학', '현대철학', '러셀/비트겐슈타인']"
5013,스틱!,칩 히스;댄 히스,웅진윙스(웅진씽크빅),2009,331.1 히57ㅅ,9788900000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F347924%3Ftimestamp%3D20230829183510,"제품을 팔기 위한 광고 메시지, 재미있는 이야기 등 세상에는 셀 수 없을 정도의 수많은 메시지들이 있다. 그리고 이런 눈에 보이는 메시지 말고도 기업이 의도한 제품의 이미지와 같은 보이지 않는 메시지도 존재한다. 이런 수많은 메시지 중 왜 어떤 것은 쉽게 잊혀지고, 어떤 것은 뇌리에 각인되어 잊혀지지 않는 것일까? 『스틱』은 메시지를 보다 창의적이고 효과적인 형태로 다듬을 수 있는 방법을 알려준다. 제목이기도 한 '스틱(Stick)'은 평생 기억에 남는 말, 사지 않고는 못 견디게 만드는 광고, 마음을 사로잡는 이미지 등 어떤 메시지가 사람의 뇌리에 꽂히는 현상을 의미한다. 저자는 메시지가 '스틱'되기 위해 갖춰야 할 특징을 6가지로 정리하였다. Simplicity(단순성), Unexpectedness(의외성), Concreteness(구체성), Credibility(신뢰성), Emotion(감성), Story(스토리)' 등 스티커 메시지 창조의 6법칙을 조목조목 살펴보면서 스티커 메시지의 특성을 이해할 수 있도록 하고, 당신이 만드는 메시지에 유전적인 변형을 가해 타고난 창의성과 상관없이 어떤 메시지든 사람의 뇌리에 착 달라붙게 만든다. 개정증보판. 이 책은 2007년 동일 제목으로 출간된 <스틱!>의 개정증보판이다. 이번 책에서는 기업을 괴롭히는 악성루머를 다루는 위기대처법에서부터 미국에서 중국까지 한치의 오차도 없이 전략을 소통하는 방법, 청중의 이목을 잡아끄는 프레젠테이션방법과 학생들의 뇌리에 착 달라붙게 만드는 스티커 교수법 등을 추가로 집필해 실었다.","['경제경영', '마케팅/세일즈', '마케팅/브랜드']"
5014,말문 트인 과학자,랜디 올슨 지음;윤용아 옮김,정은문고,2011,404 올57ㅁ,9789000000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1471290%3Ftimestamp%3D20220102153249,"『말문 트인 과학자』는 ‘과학’이 대중들과 소통되기 힘든 학문이라는 것에 주목하고, 어떻게 하면 대중들과 소통하는 과학이 될 수 있는지 생각해본 책이다. 과학자에서 영화감독으로 인생의 경로를 바꾼 저자가 과학계와 영화판을 넘나드는 숱한 예제들로 과학자들을 우스꽝스럽게 묘사하고, 때론 신랄하게 비꼬기도 하면서 과학에 대한 흥미를 불러일으킨다. 과학은 진실을 탐구하는 학문이지만 그것 역시 대중에게 받아들여지지 않는다면 소용이 없다는 것을 이야기하며 어떻게 하면 대중과 소통하는 과학이 될 수 있을지 유쾌한 문장으로 풀어나가고 있다.","['과학', '기초과학/교양과학']"
5015,10년 후 미래,대니얼 앨트먼 지음;고영태 옮김,청림,2011,322.8 앨887ㅅ,9788940000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F522674%3Ftimestamp%3D20220929020659,"세계 경제의 장기적인 변화 방향을 예측하는 『10년후 미래』. 이 책은 <뉴욕타임스>에서 최연소 논설위원을 지내고 영국 정부의 경제자문위원으로 활동하는 대니얼 앨트먼 교수가 다가오는 미래에는 어떤 산업이 성장하고 어떤 국가가 경제적 위험에 직면할 것인지, 성공적인 투자 분야는 무엇이고 다음의 경제위기는 어디서 어떻게 발생할 것인지에 대한 날카로운 통찰을 보여준다. 세계 경제의 변화 이면을 깊숙이 파고들어 중국의 몰락, 미국의 부활, 국제 교역 체제의 변화, 라이프스타일 허브의 등장, 미들맨의 부상 등 현재 정책들이 초래할 수 있는 예기치 못한 결과들을 과감하게 밝혀냈다. 단순한 분석이나 암시를 뛰어넘어 정확한 수치와 합리적인 근거를 바탕으로 세계 경제가 직면한 위험과 기회를 명확하게 설명하였다.","['경제경영', '경제학/경제일반', '경제사/경제전망', '세계 경제사/경제전망']"
5016,경제학의 배신,라즈 파텔 지음,북돋움,2011,320 파884ㄱ,9788990000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1378932%3Ftimestamp%3D20220630132603,"『경제학의 배신』은 ‘가격’과 ‘가치’에 대한 새로운 사고방식을 제시하면서 정통 경제학 이론, 자유시장 경제체제를 낱낱이 파헤친다. 이 책은 경제 붕괴의 혼돈 속으로 들어가 그 과정과 원인을 한 편의 파노라마처럼 펼쳐 보여준다. 이를 통해 우리는 왜 실질적인 변화 없이 같은 잘못을 반복하는 성향을 갖게 되었는지, 시장이 정하는 ‘가격’으로 세계의 ‘가치’를 평가할 수 있다는 믿음이 얼마나 잘못되었는지 깨닫게 된다. 또 세계 각지에서 진행되는 ‘대항운동’ 사례들을 소개함으로써, 어떻게 해야 지금의 세계로 이끈 잘못된 경로를 바로잡을 힘을 갖게 되는지 제시한다.","['경제경영', '경제학/경제일반', '경제정책/비평']"
5017,랄프 로렌 스토리,마이클 그로스,미래의창,2011,325.04 그295ㄹ,9788960000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F815749%3Ftimestamp%3D20220505214101,"패션계의 신화로 우뚝 선 랄프 로렌의 삶과 폴로 브랜드의 모든 것을 담아낸『랄프 로렌 스토리』. 베스트셀러 <모델 : 아름다운 여성의 추악한 비즈니스>의 저자인 마이클 그로스가 풍부한 조사를 통해 패션 황제, 랄프 로렌의 드라마틱한 삶을 생생하게 그려낸다. 부자를 꿈꾸었던 어린 시절, 세일즈맨으로 시작한 열정의 청년 사업가, 대중들의 판타지를 절묘하게 이용한 천재적인 마케팅 기법, 백만장자의 대열에 올라서기까지 그의 개인적인 삶과 거대한 글로벌 패션왕국 폴로의 내부를 함께 담아낸다.","['경제경영', '기업/경영자 스토리', '국외 기업/경영자']"
5018,100 디스커버리,피터 매시니스 지음;이수연 옮김,생각의날개,2011,509 매58ㅂ,9789000000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1465171%3Ftimestamp%3D20190130052328,"『100 디스커버리』는 인류의 역사를 바꾼 100가지 위대한 과학 발견에 대한 정보를 간결하게 정리하여 엮은 책이다. ‘도구·기술’ ‘의학’ ‘원자·물리학’ ‘전기·전자’ ‘유리·광학’ ‘지구과학·천체물리학’ ‘생물·유전·진화’ ‘수학·문자’ 등 총 7개의 부분으로 나누었으며, 각각 분야들의 과학 발견과 발전 시기에 따라 차례차례 이야기를 들려준다. 수많은 과학자들의 노력과 인내, 그 안에 숨겨진 이야기들이 함께 덧붙여져서 흥미롭게 전개된다. 당시 과학 발견의 배경부터 연구 과정, 당시의 발견이 현재에 끼치는 영향 등 다각도로 조명하여 현대 과학에 대한 이해의 폭을 넓혀주고 있다.","['과학', '발명/발견']"
5019,우리 몸은 석기시대,데트레프 간텐;틸로 슈팔;토마스 다이히만 지음;조경수 옮김,중앙북스,2011,510.4 간884ㅇ,9788930000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F458631%3Ftimestamp%3D20190123065737,"진화의학을 통해 우리 몸의 건강이나 질병에 대해 밝히는 책 『우리 몸은 석기시대』. 우리가 건강한 삶을 위해 알아야 할 진화의학에 대해 다루고 있다. 인체의 구석구석을 진화적 관점에서 살펴보며 다양한 질문들을 던진다. 수많은 진화의 단계를 거쳤는데도 왜 인간의 몸은 아직도 불완전한지, 사랑니와 맹장은 왜 사라지지 않는지, 여자는 왜 고통 없이 출산을 할 수 없는지, 자연선택이 생존에 유리한 조건들을 선별해왔다면 왜 나쁜 유전자는 없어지지 않는지 등을 이야기하며 우리 몸의 건강이나 질병이 진화의 유산과 어떤 관련이 있는지를 알려준다. 여러 가지 질병의 원인들을 파헤치고, 이를 바탕으로 현대인들이 더 건강하게 살 수 있는 방법을 제시한다.","['과학', '생명과학', '진화론']"
5020,"지혜로 지은 집, 한국 건축",김도경 지음,현암사,2011,610.911 김25ㅈ,9788930000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F500312%3Ftimestamp%3D20221107224950,"한국 건축의 아름다움은 어디에서 오는가? 5천 년 이상의 유구한 역사를 지닌 한국 건축은 이 땅에 오랫동안 정착하여 살아온 조상들의 지식과 기술, 그리고 지혜를 담고 있다.『지혜로 지은 집, 한국 건축』에서는 과학과 지혜가 가득한 우리 건축의 놀라운 구조를 다양한 사례들을 통해 분석하고 있다. 현존하는 우리 건축물의 도면과 사진을 보면서, 초석과 기단부터 기둥과 장식에 이르기까지 한국 건축의 모든 구조를 분해해 설명했다. 일반인들도 쉽게 이해할 수 있도록 쓰였으며, 책에 실린 건축물을 직접 찾아갈 수 있도록 위치 정보도 함께 수록하였다. 북소믈리에 한마디! 각 장은 평면, 기단과 초석, 기둥, 가구, 공포, 지붕, 수장과 마감 등으로 나누어서 부분 구조물의 개념과 유래, 생김새와 역할들을 꼼꼼히 살핀다. 그 속에 숨은 과학 원리와 조상의 지혜를 밝히는 과정을 통해 한국 건축의 합리성과 아름다움의 진면목을 발견할 수 있다. 그동안 쉽게 지나쳤던 우리 건축 공간에 대한 안목을 한층 높일 수 있을 것이다.","['예술/대중문화', '건축', '전통 건축']"
5021,(과학선생님도 궁금한)101가지 과학질문사전,의정부과학교사모임 지음;곽윤환 그림,북멘토,2010,404 의74ㅂ,9788960000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F881048%3Ftimestamp%3D20220925173608,심장은 사랑하는 사람을 만나면 알아본다? 호랑이가 무서워하고 초파리가 좋아하는 것은? 은나노가 어떻게 세균을 죽일 수 있나? 술을 마시면 왜 머리가 아프고 필름이 끊길까? 토네이도는 왜 우리나라에 없을까? 파란 하늘과 흰 구름이 생기는 이유는? 이 책에 실린 101가지 질문과 답변들은 실제 수업 시간에 학생들이 질문한 것 중에서 흥미로운 과학적 원리와 호기심이 담긴 내용을 모은 것이다. 학생들이 이해하기 쉽도록 어려운 원리는 풀어 쓰고 다양한 사례와 일상생활에서 찾을 수 있는 현상들을 소개해 이해를 돕는다.,"['청소년', '청소년 수학/과학']"
5022,유쾌한 물리학,김기태 지음,한승,2010,420 김18ㅇ,9788990000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1221809%3Ftimestamp%3D20221025123924,청소년이 과학에 대해 흥미를 가지도록 이끄는 『유쾌한 물리학』. 청소년들에게 물리학에 대한 지식을 심어주는 물리학 교양서다. '우주'와 '원자'에 대해 중점적으로 다루고 있다. 특히 과학의 위대한 발명이나 발견이 우리가 언제나 접하는 사물에서 나옴을 이해시켜준다. 사소한 현상 속에도 과학의 대상이 될만한 비밀이 감추어졌음을 알린다.,"['청소년', '청소년 수학/과학']"
5023,다이슨 스토리,레인 캐러더스,미래사,2011,325.211 캐294ㄷ,9788970000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F972344%3Ftimestamp%3D20220505205926,"『창의와 혁신의 브랜드 다이슨 스토리』는 고정관념을 깨고 날개 없는 선풍기, 먼지봉투 없는 청소기 등을 만든 영국회사 '다이슨'의 성공 스토리를 담았다. 이 책은 스스로를 '브랜드'라고 부르지 않고 '제품'이라고 불리길 원하는 다이슨이 사업의 성장, 제품 디자인의 역할, 혁신이 어떤 때 성공하고 또 실패하는지, 그리하여 각각의 요소는 어떻게 맞아 들어가는지를 자세히 들려준다. 이를 통해 다이슨이 추구해온 목표과 성공비결을 살펴보고, 현대 비즈니스가 나아가야 할 방향을 함께 제시한다.","['경제경영', '기업/경영자 스토리', '국외 기업/경영자']"
5024,거인을 바라보다,엘린 켈지 지음;황근하 옮김,양철북,2011,499.5 켈78ㄱ,9788960000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F890033%3Ftimestamp%3D20220325194318,"우리가 모르는 고래의 삶에 대한 이야기 『거인을 바라보다』. 두 아이의 엄마이자 해양생물학자, 환경운동가로 살아가는 저자가 자신의 삶과 고래의 삶을 연결시켜 쓴 생태에세이다. 고래와 돌고래의 문화 그리고 과학자들이 그들을 이해하기 위해 활용하는 신기한 방법들을 각 장의 독립된 글로서 담아냈다. 향유고래의 폐경이 갖는 깊은 의미, 고래의 사랑과 섹스, 고래들의 공동육아 방식, 흰긴수염고래 시체를 먹고 살아가는 희귀 생물체 등 풍부한 주제를 망라하며 고래에 대한 신비롭고 흥미진진한 이야기를 펼쳐내고 있다.","['과학', '생명과학', '생태학']"
5025,판스워스 교수의 생물학 강의,프랭크 H. 헤프너 지음;윤소영 옮김,도솔출판사,2004,472 헤897ㅍ,8972201456,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F996474%3Ftimestamp%3D20250326114219,"판스워스 교수의 생물학 강의《생각하는 생물 1,2》의 합본판이다. 저자인 헤프너 교수는 대학 신입생들을 상대로 10여 년 동안 생물학을 강의한 스티븐 판스워스 교수(많은 훌륭한 선생님들을 모델로 창조해낸 가상인물)를 등장시켜 생물학 강의를 쉽고 재미있게 풀어가고 있다. 세포, 물질대사, 유전으로부터 생물의 진화와 다양성에 이르기까지 생물학의 기본 개념을 유머넘치는 강의를 통해 설명하고 있다.","['과학', '생명과학', '생물학']"
5026,한반도 자연사 기행,조홍섭 지음,한겨레 출판사,2011,450.911 조95ㅎ,9788980000000,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1179864%3Ftimestamp%3D20231208180851,"발로 뛰며 기록한 한반도의 지질, 지형, 생명 이야기 『한반도 자연사 기행』. 지질학회와 소속 연구자들이 거둔 연구 성과를 바탕으로 한반도의 선캄브리아대부터 고생대, 중생대를 거쳐 신생대에 이르기까지 다양한 지질현상을 담아낸 책이다. 크게 격변의 시대, 생명의 땅, 한반도 지질 명소 3부로 이루어져 있다. 1부에서는 한반도, 산, 바다, 강의 탄생 등 한반도의 땅이 어떻게 만들어졌는지 살펴본다. 2부에서는 공룡 등 한반도의 생명의 흔적들, 3부는 우리 땅의 대표적인 지질 명소 등을 다루고 있다.","['과학', '지구과학', '지구']"
