"자료명","저자","출판사","출판년도","소장처","ISBN","카카오제목","카카오작가","카카오번역자","카카오ISBN","카카오출판사","카카오출간일","카카오썸네일","카카오URL","책소개"
"(다시쓰는)택리지. 4: 복거총론-어디에서 살 것인가","신정일 지음","휴머니스트","2004","자료실","8958620188 ","다시쓰는 택리지 4(어디에서 살것인가)","신정일","","9788958620181.0","휴머니스트","2004-11-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F785836%3Ftimestamp%3D20220803210917","https://search.daum.net/search?w=bookpage&bookId=785836&q=%EB%8B%A4%EC%8B%9C%EC%93%B0%EB%8A%94+%ED%83%9D%EB%A6%AC%EC%A7%80+4%28%EC%96%B4%EB%94%94%EC%97%90%EC%84%9C+%EC%82%B4%EA%B2%83%EC%9D%B8%EA%B0%80%29"," "
"단도와 활","채명석 지음","미래M&B","2006","자료실","8983943157 ","단도와 활(반양장)","채명석","","9788983943156.0","미래M&B","2006-08-09","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1176584%3Ftimestamp%3D20220702173110","https://search.daum.net/search?w=bookpage&bookId=1176584&q=%EB%8B%A8%EB%8F%84%EC%99%80+%ED%99%9C%28%EB%B0%98%EC%96%91%EC%9E%A5%29"," "
"나는 왜 그리고 어떻게 철학을 해왔나","박이문 지음","삼인","2006","자료실","8991097464 ","나는 왜 그리고 어떻게 철학을 해왔나(양장본 HardCover)","박이문","","9788991097469.0","삼인","2006-07-14","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1336521%3Ftimestamp%3D20190127222432","https://search.daum.net/search?w=bookpage&bookId=1336521&q=%EB%82%98%EB%8A%94+%EC%99%9C+%EA%B7%B8%EB%A6%AC%EA%B3%A0+%EC%96%B4%EB%96%BB%EA%B2%8C+%EC%B2%A0%ED%95%99%EC%9D%84+%ED%95%B4%EC%99%94%EB%82%98%28%EC%96%91%EC%9E%A5%EB%B3%B8+HardCover%29"," "
"곤충의 행성","하워드 E. 에번스 지음;윤소영 옮김","사계절","2004","자료실","8971969733 ","곤충의 행성","하워드E에번스","윤소영","9788971969731.0","사계절","2003-08-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F994384%3Ftimestamp%3D20221125155645","https://search.daum.net/search?w=bookpage&bookId=994384&q=%EA%B3%A4%EC%B6%A9%EC%9D%98+%ED%96%89%EC%84%B1"," "
"고인돌이야기","이영문","다지리","2001","자료실","8988812093 ","고인돌 이야기","이영문","","9788988812099.0","다지리","2001-03-03","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1278845%3Ftimestamp%3D20190127143804","https://search.daum.net/search?w=bookpage&bookId=1278845&q=%EA%B3%A0%EC%9D%B8%EB%8F%8C+%EC%9D%B4%EC%95%BC%EA%B8%B0"," "
"간찰","심경호 지음","한얼미디어(한즈미디어)","2006","자료실","8991087396 ","간찰(선비의 마음을 읽다)","심경호","","9788991087392.0","한얼미디어","2006-05-09","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1348344%3Ftimestamp%3D20220129175325","https://search.daum.net/search?w=bookpage&bookId=1348344&q=%EA%B0%84%EC%B0%B0%28%EC%84%A0%EB%B9%84%EC%9D%98+%EB%A7%88%EC%9D%8C%EC%9D%84+%EC%9D%BD%EB%8B%A4%29"," "
"고려사람 고려사회","박기현 지음","늘푸른 소나무","2006","자료실","8988640586 ","고려 사람 고려 사회(아름답고 슬펐던 474년 간의 역사 기록)","박기현","","9788988640586.0","늘푸른소나무","2006-06-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1278215%3Ftimestamp%3D20221025115338","https://search.daum.net/search?w=bookpage&bookId=1278215&q=%EA%B3%A0%EB%A0%A4+%EC%82%AC%EB%9E%8C+%EA%B3%A0%EB%A0%A4+%EC%82%AC%ED%9A%8C%28%EC%95%84%EB%A6%84%EB%8B%B5%EA%B3%A0+%EC%8A%AC%ED%8E%90%EB%8D%98+474%EB%85%84+%EA%B0%84%EC%9D%98+%EC%97%AD%EC%82%AC+%EA%B8%B0%EB%A1%9D%29"," "
"(결코피할수없는)야스쿠니 문제","다카하시 데쓰야 지음","역사비평사","2005","자료실","8976962664 ","야스쿠니 문제(결코 피할 수 없는)","다카하시 데쓰아","현대송","9788976962669.0","역사비평사","2005-10-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1078810%3Ftimestamp%3D20200205125201","https://search.daum.net/search?w=bookpage&bookId=1078810&q=%EC%95%BC%EC%8A%A4%EC%BF%A0%EB%8B%88+%EB%AC%B8%EC%A0%9C%28%EA%B2%B0%EC%BD%94+%ED%94%BC%ED%95%A0+%EC%88%98+%EC%97%86%EB%8A%94%29"," "
"동아시아의 역사분쟁","이찬희","동재","2004","자료실","8990768071 ","동아시아의 역사분쟁","이찬희, 임상선, 윤휘탁","","9788990768070.0","동재","2006-06-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1326499%3Ftimestamp%3D20190127205149","https://search.daum.net/search?w=bookpage&bookId=1326499&q=%EB%8F%99%EC%95%84%EC%8B%9C%EC%95%84%EC%9D%98+%EC%97%AD%EC%82%AC%EB%B6%84%EC%9F%81"," "
"너를 위하여 나는 무엇이 될까","정호승 지음 ; 우승우 그림","해냄출판사","2004","자료실","8973375970 ","너를 위하여 나는 무엇이 될까","정호승","","9788973375974.0","해냄출판사","2004-06-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1019505%3Ftimestamp%3D20221025151535","https://search.daum.net/search?w=bookpage&bookId=1019505&q=%EB%84%88%EB%A5%BC+%EC%9C%84%ED%95%98%EC%97%AC+%EB%82%98%EB%8A%94+%EB%AC%B4%EC%97%87%EC%9D%B4+%EB%90%A0%EA%B9%8C"," "
