"자료명","저자","출판사","출판년도","소장처","제목","번역자","ISBN","출간일","썸네일","URL","책소개"
"고백이 참 희망적이네","유강희","문학동네","2018","자료실","고백이 참 희망적이네","","8954653804 9788954653800","2018-11-22","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F4814620%3Ftimestamp%3D20241207125807","https://search.daum.net/search?w=bookpage&bookId=4814620&q=%EA%B3%A0%EB%B0%B1%EC%9D%B4+%EC%B0%B8+%ED%9D%AC%EB%A7%9D%EC%A0%81%EC%9D%B4%EB%84%A4","“별들의 반짝임이 실은 아프디아픈 별의 속엣생피라고…”  ―문학인생 31년, 발생적으로 자연에 가까운 유강희의 시세계    1987년 스무 살 나이에 등단해 1996년 첫 시집 『불태운 시집』, 2005년 두번째 시집 『오리막』을 펴낸 유강희 시인. 13년이 지나 66편을 담은 세번째 시집 『고백이 참 희망적이네』를 펴낸다. “삶이 자꾸 시를 속이려 들거나/ 혹은 시가 삶을 속이려 들 때마다/ 나는 우두커니 먼 데를 바라본다”라는 이번 시집의 ‘시인의 말’에서 추측해보자면, 자주 ‘우두커니 먼 데를 바라’보기 때문일까. 문학인생 31년, 10년에 한 번꼴로 시집을 묶을 만큼 과작이다. 그를 두고 시인 안도현은 “시인 중에도 자신의 속된 욕망을 시인이라는 이름으로 애써 가리려고 하는 사람들이 적지 않다. 하지만 나는 유강희한테서 그런 모습을 본 적이 한 번도 없다. 그는 무한히 착하고, 매사에 지극하고, 자신을 낮춤으로써 상대를 높일 줄 아는 사람이다”라 말한 바 있다. 시인의 시 역시 그러하다. 우두커니 먼 데를 바라보다가 “별들의 반짝임이 실은 아프디/ 아픈 별의 속엣생피라고” “겨우/ 귀엣말”(「시인의 말」)하는 시. ‘겨우’에 방점을 찍어야 할 것이다."
"순한 먼지들의 책방","정우영","창비","2024","자료실","순한 먼지들의 책방","","893642498X 9788936424985","2024-02-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6560086%3Ftimestamp%3D20240323171219","https://search.daum.net/search?w=bookpage&bookId=6560086&q=%EC%88%9C%ED%95%9C+%EB%A8%BC%EC%A7%80%EB%93%A4%EC%9D%98+%EC%B1%85%EB%B0%A9","올해로 등단 35년을 맞은 정우영 시인의 신작 시집 『순한 먼지들의 책방』이 창비시선으로 출간되었다. “전편이 죽음의 의미를 묻는 독특한 시집”(강형철)으로 주목받았던 『활에 기대다』(반걸음 2018) 이후 6년 만에 펴내는 다섯번째 시집이다. 시인은 “삶과 죽음, 필연과 우연, 있음과 없음, 세계 안과 세계 밖 같은 궁극의 문제들”(소종민, 해설)에 대한 깊이 있는 성찰과 사색의 세계를 펼친다. 삶의 정경을 바라보는 선한 마음과 애틋한 눈길, 뭇 존재에 대한 깊은 연민이 서린 맑고 투명한 시편들이 아름다운 잔상을 남긴다. 물질문명과 자본주의사회의 빠른 속도에 역행하는 듯 느리고 편안한 자신만의 언어로 “저마다 서로 다른 인생의 굴곡과 사연들”(해설)을 펼쳐내는 솜씨와 그 서정적 깊이가 놀라움을 선사한다. 무엇보다 ‘시는 삶’이라는 믿음을 견지하며 시와 삶과 세상을 받드는 시인의 겸손한 마음과 성실한 태도가 신뢰를 준다."
"누구도 기억하지 않는 역에서","허수경","문학과지성사","2016","자료실","누구도 기억하지 않는 역에서","","8932029083 9788932029085","2016-09-28","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F495628%3Ftimestamp%3D20241115114131","https://search.daum.net/search?w=bookpage&bookId=495628&q=%EB%88%84%EA%B5%AC%EB%8F%84+%EA%B8%B0%EC%96%B5%ED%95%98%EC%A7%80+%EC%95%8A%EB%8A%94+%EC%97%AD%EC%97%90%EC%84%9C","허수경 시집 『누구도 기억하지 않는 역에서』. 우리말의 유장한 리듬에 대한 탁월한 감각, 시간의 지층을 탐사하는 고고학적 상상력, 물기 어린 마음이 빚은 비옥한 여성성의 언어로 우리 내면 깊숙한 곳의 허기와 슬픔을 노래해온 시인 허수경이 여섯번째 시집이다."
"나는 간호사, 사람입니다","김현아","쌤앤파커스","2023","자료실","나는 간호사 사람입니다","","8965706130 9788965706137","2018-04-09","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F918642%3Ftimestamp%3D20230419174817","https://search.daum.net/search?w=bookpage&bookId=918642&q=%EB%82%98%EB%8A%94+%EA%B0%84%ED%98%B8%EC%82%AC+%EC%82%AC%EB%9E%8C%EC%9E%85%EB%8B%88%EB%8B%A4","21년 2개월 동안 외과중환자실에서 수많은 환자를 돌보며 쉼 없이 달려온 한 간호사의 절절한 고백이자 용기 있는 외침이다. 한 사람이 태어나 성년이 되기까지 걸리는 20여 년 시간 동안 간호사라는 이름으로 직업적 신념을 꿋꿋이 지키며 살아온 한 사람에게 도대체 무슨 일이 있었고, 수도 없이 부딪쳤을 고뇌와 좌절은 또 어떻게 이겨냈을까?    저자는 지난 2015년 전국을 공포에 떨게 한 메르스 사태 당시 ‘간호사의 편지’로 전 국민을 감동시킨 주인공이기도 하다. “저승사자 물고 늘어지겠습니다. 내 환자에게는 메르스 못 오게”(2015년 6월 12일 <중앙일보> 1면)라는 제목으로 실린 김현아 간호사의 글은 메르스와의 싸움에서 패한 의료인의 회한과 절규, 그럼에도 내 환자를 끝까지 지켜내겠다는 굳은 의지를 담아낸 것이었다.    이 책은 삶과 죽음이 전쟁 같은 사투를 벌이는 종합병원 중환자실에서 ‘저승사자와 싸우는’ 간호사의 업무 현장, 환자 안전과 국민 건강이라는 중요한 축을 책임지고 있으면서도 늘 처친 어깨로 살아갈 수밖에 없는 간호사들의 열악한 환경을 가감 없이 그려낸다. 우리와 같은 시대 같은 공간에서 살아가는 간호사들의 아름답고도 슬픈 이야기이자 ‘인간에 대한 예의’가 무엇인지를 잊은 채 살아가는 한국 사회의 우울한 단면이다."
"노화의 종말","데이비드 A. 싱클레어, 매슈 D. 러플랜트","부키","2020","자료실","노화의 종말","이한음","8960518026 9788960518025","2020-07-30","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5428331%3Ftimestamp%3D20231014172514","https://search.daum.net/search?w=bookpage&bookId=5428331&q=%EB%85%B8%ED%99%94%EC%9D%98+%EC%A2%85%EB%A7%90","『노화의 종말』은 노화와 유전 분야 세계 최고 권위자 데이비드 싱클레어 박사가 25년 장수 연구를 집대성해 최초로 공개하는 역작이다. 자신의 하버드 의대 연구실뿐 아니라 세계 각지의 연구자와 연구실에서 이루어져 온 주요 최신 성과를 총망라한 이 책은 수명과 장수, 인간과 생명의 패러다임까지 뒤집는 충격적인 사실과 비밀을 담고 있다. 우리는 노화를 삶의 불가피한 일부, 자연스러운 과정으로 받아들인다. 그래서 늙어 감을 부정하는 것은 자연을 거스르는 일, 인간 본성과 도리에 어긋나는 짓이라고 여긴다. 하지만 저자는 이 모든 생각이 틀렸다고 말한다. “노화는 정상이 아니라 질병이며, 이 병은 치료 가능하다”는 것이다. “지연하고 중단하고 역전시킬 수“ 있으며 “노화만 해결하면 모든 장애와 질병에서 벗어나 누구나 건강한 장수를 누릴 수 있다”는 것이다.  저자는 40억 년 진화의 역사와 최신 유전학, 후성유전학, 의학, 과학에 근거해 노화의 단 한 가지 근본 원인을 밝혀낸다. 또 장수 유전자와 항노화제, 장수 약물에서부터 노화 예방 백신과 세포 재프로그래밍, 생체표지추적, 맞춤 장기 생산 등 최신 의료 기법, 저아미노산 식단과 저온 노출, 고강도 인터벌 트레이닝 등 라이프스타일 개선법까지 일상 생활습관과 최첨단 과학 의료 기술을 망라하는 놀랍고 획기적인 장수의 비법들을 공개한다. 그리고 수명 혁명에 따라 앞으로 예상되는 여러 문제와 대처 방안을 제시한다. 우리 모두가 더 젊고 더 건강하게 더 오래도록 행복하게 살 수 있는 실질적인 방법, 인류의 미래를 꿰뚫어 보는 통찰이 이 한 권에 모두 담겨 있다."
"마이너리티 리포트","필립K 외","집사재","2015","자료실","마이너리티 리포트","이지선","8986190672 9788986190670","2002-04-25","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F1233821%3Ftimestamp%3D20220210200418","https://search.daum.net/search?w=bookpage&bookId=1233821&q=%EB%A7%88%EC%9D%B4%EB%84%88%EB%A6%AC%ED%8B%B0+%EB%A6%AC%ED%8F%AC%ED%8A%B8",""
"이처럼 사소한 것들","클레어 키건","다산책방","2023","자료실","이처럼 사소한 것들","홍한별","1130646386 9791130646381","2023-11-27","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6500196%3Ftimestamp%3D20241112155015","https://search.daum.net/search?w=bookpage&bookId=6500196&q=%EC%9D%B4%EC%B2%98%EB%9F%BC+%EC%82%AC%EC%86%8C%ED%95%9C+%EA%B2%83%EB%93%A4","* 문학평론가 신형철, 르포작가 은유 추천 * 2022 오웰상 소설 부문 수상 * 킬리언 머피 주연·제작 영화화  2023년 4월 국내에 처음 소개된 『맡겨진 소녀』로 국내 문인들과 문학 독자들의 열렬한 환호를 받은 클레어 키건의 대표작 『이처럼 사소한 것들』이 다산책방에서 번역 출간되었다. 작가가 전작 『맡겨진 소녀』 이후 11년 만에 세상에 내놓은 소설로, 자국에서는 이미 오래전부터 거장의 반열에 오른 키건에게 미국을 넘어 세계적인 명성을 안겨준 작품이다. 2022년 부커상 최종후보에 오르고, 같은 해 오웰상(소설 부문), 케리그룹 문학상 등 유수의 문학상을 휩쓸었으며, 특히 부커상 심사위원회는 “아름답고 명료하며 실리적인 소설”이라는 평을 보내며 이 소설이 키건의 정수가 담긴 작품임을 알렸다. 전 세계 독자들의 사랑과 언론의 호평을 받으며 베스트셀러에 오른 이 책은, 자신이 속한 사회 공동체의 은밀한 공모를 발견하고 자칫 모든 걸 잃을 수 있는 선택 앞에서 고뇌하는 한 남자의 내면을 그린 작품이다. 키건 특유의 섬세한 관찰과 정교한 문체로 한 인간의 도덕적 동요와 내적 갈등, 실존적 고민을 치밀하게 담아냈다. 저자의 열렬한 팬으로 유명한 아일랜드 출신의 배우 킬리언 머피는 직접 제작과 주연을 맡아 이 소설을 영화로 만들고 있으며 현재 모든 촬영을 마친 상태이다."
"TMI : 정보가 너무 많아서","캐스 R. 선스타인","열린책들","2023","자료실","TMI: 정보가 너무 많아서","고기탁","8932923884 9788932923888","2023-12-15","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6518046%3Ftimestamp%3D20240114151459","https://search.daum.net/search?w=bookpage&bookId=6518046&q=TMI%3A+%EC%A0%95%EB%B3%B4%EA%B0%80+%EB%84%88%EB%AC%B4+%EB%A7%8E%EC%95%84%EC%84%9C","세계적으로 유명한 행동 과학자이자 오바마와 바이든 행정부에서 정책 고문으로 일한 캐스 R. 선스타인의 〈TMI〉에 관한 책이 나왔다. 정부가 언제 기업들에 정보 공개를 요구하고, 언제 요구하지 말아야 하는지를 다룬 이 필독서는 엄격한 연구를 바탕으로 한 흥미로운 일화를 이끌어 낸다. 그런데 얼마나 많아야 너무 많은 정보, 즉 TMI일까? 영화관에 들어가면서 구매한 커다란 팝콘 한 통에 얼마나 많은 칼로리가 들었는지 우리가 굳이 알 필요가 있을까? 자신이 특정한 병에 취약한 유전적 소인을 가졌는지 알고 싶을까? 파리에 있지도 않은데 다음 주 파리 날씨를 안다고 해서 우리에게 유용할까? 『TMI: 정보가 너무 많아서』에서 캐스 R. 선스타인은 정보가 우리의 삶에 미치는 영향을 탐구한다. 정책 입안자들은 〈알 권리〉를 강조하지만 선스타인은 다른 관점에서 인간의 복지 그 자체에, 그리고 어떤 정보가 인간의 복지에 기여하는지에 초점을 맞추어야 한다고 주장한다. 정부는 일반적인 〈알 권리〉 때문이 아니라 문제의 정보가 사람들의 삶을 크게 개선할 수 있을 때 기업, 고용주, 병원 등에 정보 공개를 요구해야 한다. 선스타인은 경고 문구와 의무 표시에 들어 있는 정보가 혼란스럽거나 무관해서 아무런 도움을 주지 못하는 경우가 많다고 주장한다. 그의 설명에 따르면 사람들은 정보가 자신을 우울하게 만들 거라고 생각되는 경우에 정보를 회피한다(자신을 행복하게 만들 거라고 생각되는 경우에 정보를 추구한다). 우리가 정보를 회피하거나 추구하는 데는 커다란 비균질성이 존재한다. 우리 중 누군가는 팝콘의 칼로리 수치를 알고 싶어 하는 반면에, 누군가는 알고 싶어 하지 않는다. 물론 도로의 정지 표지판이나 처방 약에 표시되는 경고 문구, 결제 기한 알림 등은 없는 것보다 있는 편이 우리에게 도움이 된다고 선스타인은 말한다. 그런데도 때로는 적을수록 더 좋은 것도 사실이다. 우리에게 필요한 것은 정보가 실제로 어떤 기능을 하는지, 어떤 도움을 주는지에 대한 더욱 명확한 이해이다."
"가짜 사랑 권하는 사회","김태형","갈매나무","2023","자료실","가짜 사랑 권하는 사회","","1191842592 9791191842593","2023-12-10","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6502826%3Ftimestamp%3D20250106152457","https://search.daum.net/search?w=bookpage&bookId=6502826&q=%EA%B0%80%EC%A7%9C+%EC%82%AC%EB%9E%91+%EA%B6%8C%ED%95%98%EB%8A%94+%EC%82%AC%ED%9A%8C","사람들이 사랑을 다투듯 과시하는 심리는 무엇인가? 주류 심리학은 왜 문제의 진짜 원인을 은폐하는가? 진짜 사랑은 왜 필연적으로 사회개혁을 향하는가?  각자도생 사회가 부추기는 불안과 이기주의를 극복하고 진짜 사랑을 되찾기 위한 날카로운 진단과 제안  최근 불특정 다수를 대상으로 한 ‘묻지마 범죄’가 연달아 일어나며 사람들을 충격에 빠뜨렸다. 게다가 이런 범죄에 호응하듯 인터넷에 무차별 살인을 예고하는 글이 다수 올라오면서 공포는 더욱 커졌다. 치열한 경쟁 사회에서 낙오되었다는 박탈감, 그로 인한 타인을 향한 적대감이 현재 한국 사회에 만연함을 보여주는 현상이었다. 이처럼 한쪽에선 박탈감과 소외감이 위태롭게 분출되는 반면에, SNS와 대중 매체에선 그린 듯 완벽한 행복과 사랑의 모습을 경쟁하듯 전시하고 있다. 현대 한국 사회가 진정한 사랑이 아닌 ‘가짜 사랑’에 빠져 있는 심각한 괴리 현상이라 할 만하다. 가짜 사랑이란 필요에 따라 상대를 이용하는 도구적 사랑이며 필연적으로 심리적 고통과 인간 소외를 초래한다. 가짜 사랑이 만연할수록 사람들은 점점 더 불행해지는데, 이 불행함을 감추거나 해소하는 수단으로 행복을 과시하는 것이다.  《가짜 사랑 권하는 사회》의 저자 김태형은 이와 같은 가짜 사랑의 유형과 그 폐해를 낱낱이 분석하며 진정한 사랑을 방해하는 근본적 원인을 현재 한국 사회의 살풍경한 얼굴에서 찾는다. 사랑은 보통 사적인 감정으로 여겨지며, 사랑에 실패하는 이유 역시 개인적 문제로 치부되곤 한다. 실제로 주류 심리학에서는 사랑의 실패를 개인의 성격적 결함이나 정신 병리 탓으로 돌린다. 그러나 이는 사회라는 근본적 원인을 은폐하는 것에 불과하다. 이기주의를 조장하는 사회에서 상대를 조건 없이 사랑하는 능력을 함양하기란 지극히 어려운 일이기 때문이다. 오늘날 한국 사회에서는 자본주의적 생존 경쟁이 극에 달해, 사람들은 경쟁에서 승리하지 못하면 생존이 위태로워질 거라는 극심한 불안에 시달리고 있다. 가짜 사랑의 진짜 이유는 이러한 불안이 초래하는 이기주의와 공동체 붕괴다. 저자가 진정한 사랑이 가능한 사회로 나아가기 위해선 반드시 사회문제 해결이 동반되어야 한다고 주장하는 이유다.   《가짜 자존감 권하는 사회》와 《가짜 행복 권하는 사회》에서 개인의 심리 문제와 한국 사회의 인과관계를 밝히고 주류 심리학의 한계를 날카롭게 비판하며 ‘싸우는 심리학자’로 활동해온 김태형은, 이번 책에서는 ‘사랑’을 중심으로 한국 사회의 현주소를 진단한다. 1부 ‘진짜 사랑을 잊어버린 한국 사회’에서는 오늘날 한국에서 가장 두드러지는 가짜 사랑의 면면을 살펴보며 그 폐해를 제시한다. 2부 ‘주류 심리학은 왜 문제의 원인을 은폐하는가’에선 본격적으로 가짜 사랑의 유형과 원인을 분석하며, 주류 심리학이 왜 사랑을 불가능하게 만드는 진짜 원인을 숨기는지 알아본다. 마지막으로 3부 ‘진짜 사랑은 왜 사회개혁을 향하는가’에서는 진짜 사랑의 의의를 해설하고 진정한 사랑이 왜 사회개혁의 원동력이 되...는지를 살펴본다."
"미키7 : 반물질의 블루스","에드워드 애슈턴","황금가지","2023","자료실","미키7: 반물질의 블루스","진서희","1170523374 9791170523376","2023-11-17","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6502679%3Ftimestamp%3D20250401155302","https://search.daum.net/search?w=bookpage&bookId=6502679&q=%EB%AF%B8%ED%82%A47%3A+%EB%B0%98%EB%AC%BC%EC%A7%88%EC%9D%98+%EB%B8%94%EB%A3%A8%EC%8A%A4","「기생충」으로 아카데미상을 수상한 봉준호 감독의 2024년 SF 기대작 「미키17」, 그 원작소설로 주목받은 SF 장편소설 『미키7』의 후속작이 황금가지에서 출간되었다. 죽더라도 끊임없이 전임자의 기억을 갖고 복제인간으로 되살아나게 되는 미키의 일곱 번째 삶을 소재로 SF의 재미와 철학적 주제를 잘 담아냈다는 평가를 받은 『미키7』은, 뛰어난 흡인력과 영상화에 대한 입소문으로 출간 1년 만에 국내에서만 4만 부 이상이 판매되며 베스트셀러에 올랐다. 이번 후속작 『미키7 - 반물질의 블루스』은 전작에서 많은 독자들의 궁금증을 자아냈던 니플하임의 토착 생명체인 크리퍼의 실체를 전면에 내세우는 한편, 비밀스럽게 숨겨둔 반물질 폭탄에 얽힌 놀라운 모험, 생존자들을 위협하는 적대적 지적 생명체와의 교섭, 미키를 끊임없이 압박하는 사령관 마샬과의 반전 결말까지 전작에서 채 마무리하지 못했던 이야기를 완성한다. 많은 원작 팬들의 기대를 받고 있는 봉준호 감독의 영화 「미키17」은 워너브라더스사에 의해 2024년 상반기 중 전 세계 공개될 예정이며, 아직 원작을 읽어보지 못한 독자들을 위해 『미키7』과 『미키7 - 반물질의 블루스』를 한데 묶은 세트도 이번에 같이 출간되었다.  [줄거리] 니플하임의 토착생물인 크리퍼와 유일한 소통자라는 핑계로 죽음의 위기에서 벗어난 후, 개척단에서 반 잉여 인력의 역할을 하던 미키에게 사령관 마샬의 호출이 온다. 다가올 겨울을 준비하기 위해 미키가 예전에 숨겨둔 반물질 폭탄을 찾아와야만 한다며, 그걸 찾아오지 못할 경우 개척단 구성원 모두가 죽고 미키만이 무한한 죽음과 복제 재생의 굴레로 떨어질 거라고 겁을 준다. 이것이 자신을 너무나 증오하는 사령관의 거짓 협박인지 아니면 진실로 경고하는 건지 고민하면서도, 미키는 숨겨둔 반물질을 찾기 위해 길을 나선다. 그러나 반물질은 이미 크리퍼가 가져간 후였다. 어렵사리 크리퍼들을 찾아가서 교섭하려 하지만, 뜻밖에도 크리퍼는 반물질이 자기 손에 없으며, 인간에게 매우 적대적인 니플하임의 또 다른 집단에 넘겨주었다고 설명해 준다. 난처한 미키에게, 크리퍼는 반물질을 되찾기 위해 도움을 준다며 자신의 몸에서 유닛 하나를 떼어주는데."
"미키7","에드워드 애슈턴","황금가지","2022","자료실","미키 7","배지혜","1170521738 9791170521730","2022-07-22","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6127740%3Ftimestamp%3D20250225151857","https://search.daum.net/search?w=bookpage&bookId=6127740&q=%EB%AF%B8%ED%82%A4+7","봉준호 감독의 차기 영화의 원작으로 주목받은 에드워드 애슈턴의 SF 장편소설 『미키7』이 황금가지에서 출간되었다. 죽더라도 끊임없이 전임자의 기억을 갖고 복제인간으로 되살아나게 되는 미키의 일곱 번째 삶을 소재로 SF의 재미와 철학적 주제를 잘 담아냈다는 평가를 받은 작품이다. 먼 미래, 끊임없이 전 우주로 영역을 확장해 나가던 인류가 새로운 행성 '니플하임'을 개척하려 하지만, 공격적인 성향의 토착 생명체인 크리퍼들로 인해 어려움을 겪는다. 개척단에서 가장 위험한 일에 투입되는 익스펜더블(소모인력)인 미키7이 탐사 도중 발을 헛디뎌 얼음 구덩이 아래로 추락하면서 이야기가 시작된다.  상처를 입긴 했지만, 아직 살아있던 미키는 죽어도 복제인간으로 되살릴 수 있다는 이유로 구조되지 않고, 결국 가까스로 기지로 생환하지만 이미 자신의 예전 기억을 갖고 되살아난 미키8을 만나고만다. 가뜩이나 상류층과 엘리트로 구성된 개척단에서 하층민 출신인 미키를 밥벌레 정도로 여기던 사령관에게 이 사실이 알려지면 둘 다 죽임당할 게 뻔한 상황. 둘 중 하나가 죽든가, 아니면 모두의 눈을 속이고 살아남아야만 한다. 우스꽝스러운 상황 속에서도 작가는 수많은 SF에서 흥미롭게 다뤄왔던 여러 철학적 주제들을 이야기에 녹여내는 한편, 인류사를 바탕으로 창안한 우주 개척사와 상상을 뛰어넘는 다양한 미래 설정, 그리고 긴장감과 유머를 적절히 혼합한 스토리텔링을 선보인다. 출간 직후 많은 언론에 주목을 받았으며, 화제에 힘입어『미키7』의 후속작이 2023년 발표될 예정이다."
"아는 만큼 보인다","유홍준","창비","2023","자료실","아는 만큼 보인다","","8936479385 9788936479381","2023-06-09","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6366844%3Ftimestamp%3D20241022161918","https://search.daum.net/search?w=bookpage&bookId=6366844&q=%EC%95%84%EB%8A%94+%EB%A7%8C%ED%81%BC+%EB%B3%B4%EC%9D%B8%EB%8B%A4","『아는 만큼 보인다』는 우리 국토의 명작과 명소를 명문으로 전해온 유홍준 교수의 ‘나의 문화유산답사기’ 시리즈 30주년 기념판이다. 500만 독자의 사랑을 받은 국내 최장수 베스트셀러 ‘답사기’ 시리즈에서 한국미의 정수이자 K-컬처의 원류를 보여주는 하이라이트 14편을 가려 뽑아 한 권에 담았다. 유홍준 교수는 우리 문화유산을 향하여 ‘사랑하면 알게 된다’의 철학을 설파해왔고, 한국미의 원류를 말하며 언제나 ‘검이불루 화이불치(儉而不陋 華而不侈, 검소하지만 누추하지 않고, 화려하지만 사치스럽지 않다)’의 미학을 강조했다. 이번 『아는 만큼 보인다』는 자연풍광과 문화유산이 어우러진 국토예찬을 담은 제1부 ‘사랑하면 알게 된다’와 한국미의 정수를 보여주는 문화유산 명작을 해설한 제2부 ‘검이불루 화이불치’로 구성해 우리 문화의 당당한 자신감이 어디서 발원하였는지 독자들이 한눈에 알아볼 수 있도록 했다. 오랜 시간에 걸쳐 집필한 글들의 에센스를 모아 오늘날의 독자들이 한국미와 한국문화 고유의 특질에 집중할 수 있도록 새롭게 선보인 것이다. 국토의 어느 곳을 가든 풍부한 자연유산과 문화유산을 만나게 되는 우리나라의 아름다움을 느끼게 해줄 가장 충실한 길잡이가 되리라 기대한다."
"국토박물관 순례. 2: 백제, 신라 그리고 비화가야","유홍준","창비","2023","자료실","국토박물관 순례 2: 백제, 신라, 그리고 비화가야","","8936480081 9788936480080","2023-11-20","https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F6496249%3Ftimestamp%3D20240719180722","https://search.daum.net/search?w=bookpage&bookId=6496249&q=%EA%B5%AD%ED%86%A0%EB%B0%95%EB%AC%BC%EA%B4%80+%EC%88%9C%EB%A1%80+2%3A+%EB%B0%B1%EC%A0%9C%2C+%EC%8B%A0%EB%9D%BC%2C+%EA%B7%B8%EB%A6%AC%EA%B3%A0+%EB%B9%84%ED%99%94%EA%B0%80%EC%95%BC","우리 시대 ‘문화 전도사’ 유홍준이 새로운 시리즈의 첫 삽을 떴다. 우리 역사를 시대순으로 살펴보며 각 시대를 대표하는 지역과 문화유산을 만나는 『국토박물관 순례』 시리즈다. ‘전 국토가 박물관이다’를 외치며 시작한 『나의 문화유산답사기』 출간 이후 30년, 답사기에서 다 담아내지 못했던 우리 역사의 진수를 국토박물관 속에서 차근차근 찾아가는 새로운 답사기이자 진화한 답사기인 셈이다. 선사시대와 고대사를 다룬 이번 1~2권을 시작으로 근현대까지 이어질 예정이다. 『국토박물관 순례』에는 역사와 문화, 유물과 현장을 아우르며 수십 년간 우리 역사의 현장을 두루 순례하고 소개해온 유홍준의 글에서만 느낄 수 있는 통찰과 매력으로 가득하다. 또한 우리 역사를 차근히 알아갈 수 있도록 답사지 소개와 더불어 해당 시대에 대한 친절하고도 깊이있는 설명을 붙여, 성인과 청소년 독자들에게 두루 유익한 역사 교재로 손색이 없다. 부족한 한국사 공부를 다시 시작해보려는 독자, 가족이나 지인과 역사기행을 떠나고자 하는 독자, 답사 프로그램을 준비하는 학교 현장이나 동호회가 있다면 이 책이 훌륭한 길잡이가 되어줄 것이다. 국토박물관이 들려주는 새로운 역사 이야기에 귀를 기울여보자."
