자료명,저자,출판사,출판년도,소장처
호모 엑세페르투스,이한음 지음,효형출판,2007,자료실
혀,조경란,문학동네,2007,자료실
DNA 딜레마,조너던 와이너;박미경,이끌리오,2008,자료실
황우석 신화와 대한민국 과학,김근배 지음,역사비평사,2007,자료실
세계 역사의 관찰,야코프 부르크하르트;안인희,휴머니스트,2008,자료실
시시콜콜 Science Book(시시콜콜 사이언스 북),믹 오헤어;장석봉,이마고,2008,자료실
"우주에서, 이소연입니다",김호진,샘터사,2008,자료실
지구 반대편을 여행하는 법,정준수,플럼북스,2008,자료실
레인보우 동경,김경주;문봉섭,넥서스Books,2008,자료실
혼자일 때 그곳에 간다,박상우,시작(웅진씽크빅),2008,자료실
제국의 뒷길을 걷다,김인숙,문학동네,2008,자료실
그늘의 발달,문태준,문학과지성사,2008,자료실
가이아의 복수,제임스 러브록,세종서적,1992,자료실
29개의 키워드로 읽는 한국문화의 지형도,김기봉 [외지음],한국출판마케팅연구소,2007,자료실
(네가 어떤 삶을 살든)나는 너를 응원할 것이다,공지영,오픈하우스,2008,자료실
"스무살, 도쿄","오쿠다,히데오;양윤옥",은행나무,2008,자료실
공자와 천하를 논하다,신동준 지음,한길사,2007,자료실
견디지 않아도 괜찮아,박원순;신희섭,샘터사,2008,자료실
지구는 푸른빛 이었다,유리 알렉세예비치 가가린;김장호,갈라파고스,2008,자료실
푸른학교 바른교육,최규호,두인,2004,자료실
(8개 국어로 엮은)반만년의 숨결!,오교성 ; 배점모 ; 장영 [공저],아사히,2003,자료실
소설 동의보감. 下. 3,이은성,창작과비평사,1991,자료실
전신 조훈현,조훈현;김종서 [공]지음,청년사,2004,자료실
대금산조 창시자 박종기 평전,이진원,민속원,2007,자료실
과학으로 맛있는 직업 따라하기,한국여성과학기술단체총연합회,경문사,2007,자료실
(전자 화학 산업의 선구자)연암 구인회,유영수;대한상공회의소,소담출판사,2007,자료실
(한국 경제의 신화)아산 정주영,유영수;대한상공회의소,소담출판사,2007,자료실
(기업가 정신의 실천적 선각자) 연강 박두병,유영수,소담출판사,2007,자료실
(재계의거목)호암 이병철,"조준상 글,만화;대한상공회의소 기획",소담출판사,2006,자료실
심청. 상. 1,황석영,문학동네,2003,자료실
한시로스승찾고묵향으로벗을삼아,김홍광[글],이화문화출판사,2005,자료실
(선생님과 함께하는) 시 창작교실,도종환 지음,실천문학사,2005,자료실
눈은 세계로 가슴은 조국으로,허만섭 지음,생각의지도,2007,자료실
한국한시진보,김홍광,이화문화출판사,2005,자료실
연어,안도현,문학동네,2007,자료실
고슴도치,위기철 지음,청년사,2000,자료실
아홉살 인생,위기철,청년사,2002,자료실
파브르 평전,마르틴 아우어 [지음] ; 인성기 [옮김],청년사,2003,자료실
(위기철 소설)껌,위기철 지음,청년사,2005,자료실
어린왕자,A. 생텍쥐페리 지음;김화영 옮김,문학동네,2007,자료실
중국한시진보,김익광,월간 서예,2003,자료실
우리집 건강주치의,"조비룡,이선영,손지영,장윤영",국민건강보험공단,2007,자료실
한국인의 법과 생활,"법무부보호고국보호과법교육팀,김현철 지음",대한교과서,2007,자료실
이공계에 빠져 봅시다,과학동아,동아사이언스,2008,자료실
MT 화학,이익모 지음,장서가,2007,자료실
MT 생명공학,최강열 지음,장서가,2007,자료실
MT 환경공학,박석순 지음,장서가,2007,자료실
MT 음악학,김영숙 [외지음],장서가,2007,자료실
MT 건축학,마광옥 지음,장서가,2007,자료실
MT 언론정보학,"강남준,윤석민 지음",장서가,2007,자료실
MT 물리학,이기진 지음,장서가,2007,자료실
MT 천문학,안홍배 지음,장서가,2007,자료실
MT 경영학,이동진 지음,장서가,2007,자료실
MT 컴퓨터 공학,"노병희,예홍진,강경란 지음",장서가,2007,자료실
(고교생이 되기전에 읽어야 할 동서고전,성낙수;박정도,신원문화사,1998,자료실
고교생이 알아야할 동서고전. 1: 한국문학,구인환,신원문화사,2001,자료실
고교생이 되기 전에 읽어야 할 시. 2,구인환,신원문화사,1996,자료실
고교생이 되기 전에 읽어야  할 시조,구인환,신원문화사,2003,자료실
고교생이 되기 전에 읽어야 할  수필,구인환 엮음,신원문화사,2001,자료실
고교생이 알아야 할 동서 고전,구인환,신원문화사,1998,자료실
고교생이 되기 전에 읽어야 할 동서고전,구인환,신원문화사,1998,자료실
고교생이 되기 전에 읽어야  할 동서고전 10,성낙수,신원문화사,1999,자료실
(고교생이 알아야 할)세계 단편소설 . 2,구인환 엮음,신원문화사,1997,자료실
고교생이 되기 전에 읽어야 할 동서 고전,구인환,신원문화사,1998,자료실
고교생이 되기 전에 읽어야 할 동서고전. 8: 서양 사상 1,"성낙수, 박정도 엮음",신원문화사,1998,자료실
(고교생이 알아야 할)세계단편소설 . 3,구인환 엮음,신원문화사,1996,자료실
고교생이 알아야 할 소설 . 4,구인환,신원문화사,2003,자료실
고교생이 알아야 할 소설 . 5,구인환 엮음,신원문화사,2000,자료실
고교생이 알아야 할 시. 1,구인환 엮음,신원문화사,2003,자료실
고교생이 알아야 할 동서 고전. 4: 서양문학 1,구인환,신원문화사,1998,자료실
(고교생이 알아야 할)세계 단편소설 . 1,구인환 엮음,신원문화사,1997,자료실
고교생이 알아야 할 소설. 3,구인환 엮음,신원문화사,2002,자료실
고교생이 알아야 할 동서고전. 7: 동양사상,성낙수,신원문화사,2001,자료실
(고교생이 되기 전에 읽어야 할) 동서고전. 6,성낙수;박정도 [공]지음,신원문화사,1998,자료실
고교생이 알아야 할 소설. 2,구인환,신원문화사,1996,자료실
고교생이 알아야 할 소설. 1,구인환 엮음,신원문화사,2001,자료실
