자료명,저자,출판사,출판년도,소장처
모리악. 1,장 라쿠튀르 [지음] ; 최병곤 [옮김],책세상,2002,자료실
제임스 조이스. 2,리처드 엘먼 [지음] ; 전은경 [옮김],책세상,2002,자료실
제임스 조이스. 1,리처드 엘먼 [지음] ; 전은경 [옮김],책세상,2002,자료실
버지니아 울프. 2,허마이오니 리 [지음] ; 정명희 [옮김],책세상,2001,자료실
버지니아 울프. 1,허마이오니 리 [지음] ; 정명희 [옮김],책세상,2001,자료실
말로,장 프랑수아 리오타르 [지음] ; 이인철 [옮김],책세상,2001,자료실
도스토예프스키. 2,콘스탄틴 모출스키 [지음] ; 김현택 [옮김],책세상,2000,자료실
도스토예프스키. 1,콘스탄틴 모출스키 [지음] ; 김현택 [옮김],책세상,2000,자료실
카뮈. 2,올리비에 토드 [지음] ; 김진식 [옮김],책세상,2000,자료실
카뮈. 1,올리비에 토드 [지음] ; 김진식 [옮김],책세상,2000,자료실
프루스트. 2,장 이브 타디에 [지음] ; 하태환 [옮김],책세상,2000,자료실
프루스트. 1,장 이브 타디에 [지음] ; 하태환 [옮김],책세상,2000,자료실
포크너,데이비드 민터 [지음] ; 신명아 [옮김],책세상,1999,자료실
콘라드,제프리 마이어스 [지음] ; 왕철 [옮김],책세상,1999,자료실
엘리엇,피터 애크로이드 [지음] ; 오영미 [옮김],책세상,1998,자료실
횔덜린. 2,피에르 베르토 [지음] ; 김선형 [옮김],책세상,1997,자료실
횔덜린. 1,피에르 베르토 [지음] ; 김선형 [옮김],책세상,1997,자료실
플로베르,허버트 로트먼 [지음] ; 진인혜 [옮김],책세상,1997,자료실
토마스 만,로만 카르스트 [지음] ; 원당희 [옮김],책세상,1997,자료실
릴케,볼프강 레프만 [지음] ; 김재혁 [옮김],책세상,1997,자료실
중국경제성장의 비밀,"청차오저 [지음] ; 최윤정, 김준봉[공]옮김",지상사,2005,2층 자료실
화전,최열,청년사,2004,자료실
슬픈 아일랜드,박지향 [지음],새물결,2002,자료실
표준국어문법론,남기심; 고영근 [공저],탑출판사,1993,자료실
사라진 문명의 치료지식을 찾아서,기젤라 그라이헨 [편저] ; 박해영 [옮김],이가서,2005,자료실
유목과 은둔,김지하,창비,2004,자료실
나를 복제한다면,알린 주디스 클로츠코 [지음] ; 이한음 [옮김],을유문화사,2005,자료실
별을 담은 배,무라야마 유카 [지음] ; 김난주 [옮김],이레,2005,자료실
라파엘로의 유혹,이언 피어스 [지음] ; 송신화 [옮김],서해문집,2005,자료실
미야모토 무사시,시바 료타로 [지음] ; 김성기 [옮김],창해,2005,자료실
겐지 모노가타리,무라사키 시키부 [지음] ; 임찬수 [옮김],살림,2005,자료실
"핑거포스트, 1663. 2: 리비우스의 책",이언 피어스 [지음] ; 김석희 [옮김],서해문집,2004,자료실
"핑거포스트, 1663. 1: 네 개의 우상",이언 피어스 [지음] ; 김석희 [옮김],서해문집,2004,자료실
세월,마이클 커닝햄 [지음] ; 정명진 [옮김],생각의 나무,2003,자료실
프루스트를 좋아하세요,알랭 드 보통 [지음] ; 지주형 [옮김],생각의 나무,2005,자료실
(어머니 품을 설계한 건축가)가우디,하이스 반 헨스베르헌 [지음] ; 양성혜 [옮김],현암사,2002,자료실
(쉽게 배우는)경제학,김상택,황금가지,2005,자료실
인간의 조건. 011,"한나 아렌트 [지음] ; 이진우, 태정호 [공]옮김",한길사,1996,자료실
탐구자들,"대니얼 J. 부어스틴 [지음] ; 강정인, 전재호 [공]옮김",세종서적,2000,자료실
정약용과 그의 형제들. 2: 어둠의 시대,이덕일,김영사,2004,자료실
정약용과 그의 형제들. 1: 새 시대를 열어간 사람들,이덕일,김영사,2004,자료실
폭력과 성스러움,"르네 지라르 [지음] ; 김진식, 박무호 [공]옮김",민음사,2000,자료실
투탕카멘의 무덤,하워드 카터 [지음] ; 김훈 [옮김],해냄,2004,자료실
20세기 한국소설. 1,최원식...[등]엮음,창비,2005,자료실
천승세 방영웅 외. 22,최원식...[등]엮음,창비,2005,자료실
이청준 이병주 외. 21,최원식...[등]엮음,창비,2005,자료실
서정인 박태순 외. 20,최원식...[등]엮음,창비,2005,자료실
김승옥 이제하 외. 19,최원식...[등]엮음,창비,2005,자료실
하근찬 한무숙 외. 18,최원식...[등]엮음,창비,2005,자료실
전광용 이범선 이호철. 17,최원식...[등]엮음,창비,2005,자료실
손창섭 선우휘 외. 16,최원식...[등]엮음,창비,2005,자료실
김성한 장용학 외. 15,최원식...[등]엮음,창비,2005,자료실
오영수 강신재 외. 14,최원식...[등]엮음,창비,2005,자료실
김학철 지하련 외. 13,최원식...[등]엮음,창비,2005,자료실
김사량 허준 외,최원식...[등]엮음,창비,2005,자료실
김정한 안수길. 11,최원식...[등]엮음,창비,2005,자료실
황순원 김동리 외. 10,최원식...[등]엮음,창비,2005,자료실
이상 최명익 외. 9,최원식...[등]엮음,창비,2005,자료실
이효석 유진오 외. 8,최원식...[등]엮음,창비,2005,자료실
김남천 강경애 외. 7,최원식...[등]엮음,창비,2005,자료실
이태준 박태원. 6,최원식...[등]엮음,창비,2005,자료실
채만식 김유정. 5,최원식...[등]엮음,창비,2005,자료실
최서해 이기영 외. 4,최원식...[등]엮음,창비,2005,자료실
현진건 나도향 외. 3,최원식...[등]엮음,창비,2005,자료실
염상섭. 2,최원식...[등]엮음,창비,2005,자료실
이광수 김동인 외. 1,최원식...[등]엮음,창비,2005,자료실
아들러 심리학 해설,A. 아들러 ; H. 오글러 [공]지음 ; 설영환 [옮김],선영사,2005,자료실
치매와 함께 떠나는 여행,크리스틴 브라이든 [지음] ; 김동선 [옮김],인터,2005,자료실
심리학의 즐거움. 3: 마음을 사로잡는다,크리스 라반 ; 쥬디 윌리암스 [공]지음 ; 김문성 [옮김],휘닉스,2005,자료실
심리학의 즐거움. 2: 마음을 읽는다,크리스 라반 [지음] ; 김문성 [옮김],휘닉스,2004,자료실
심리학의 즐거움. 1: 마음이란 무엇인가,크리스 라반 [지음] ; 김문성 [옮김],휘닉스,2004,자료실
논문과 리포트 잘 쓰는 법,사와다 아키오 [지음] ; 이명실 [옮김],들린아침,2005,자료실
땅끝에서,키어런 멀바니 [지음] ; 이상헌 [옮김],솔,2005,자료실
라틴아메리카 신화와 전설,박종욱,바움,2005,자료실
증가하는 고령인구 다시 그리는 경제지도,폴 월리스 [지음] ; 유재천 [옮김],시유시,2001,2층 자료실
(지도로 보는)세계사,미야자키 마사카쓰 [지음] ; 노은주 [옮김],이다미디어,2005,자료실
(지리학 삼부자의)중국 지리 답사기. 하. 2: 문명의 요람에서 타클라마칸 사막까지,서무송 ; 서인명 ; 서원명 [공저],푸른길,2004,자료실
(지리학 삼부자의)중국 지리 답사기. 상. 1: 원시림의 바다에서 산수의 고향 구이린까지,서무송 ; 서인명 ; 서원명 [공저],푸른길,2004,자료실
선생님도 모르는 지리이야기,세계박학클럽 [지음] ; 윤명헌 [옮김],글담,2005,자료실
인문지리학의 시선,전종한...[등저],논형,2005,자료실
세계의 분쟁지역,이정록 ; 구동회 [공저],푸른길,2005,자료실
불칸집단의 패권형성사,"제임스 만 [지음] ; 정인석 , 구너택기 [공]옮김",박영률,2005,자료실
동호문답,이이 [지음] ; 안외순 [옮김],책세상,2005,자료실
결정적 논고,아베로에스 [지음] ; 이재경 [옮김],책세상,2005,자료실
아름다움과 숭고함의 감정에 관한 고찰,이마누엘 칸트 [지음] ; 이재준 [옮김],책세상,2005,자료실
나는 고발한다,에밀 졸라 [지음] ; 유기환 [옮김],책세상,2005,자료실
간접적인 언어와 침묵의 목소리,모리스 메를로 퐁티 [지음] ; 김화자 [옮김],책세상,2005,자료실
국가론,장 보댕 [지음] ; 임승휘 [옮김],책세상,2005,자료실
문사통의,장학성 [지음] ; 임형석 [옮김],책세상,2005,자료실
자유론,존 스튜어트 밀 [지음] ; 서병훈 [옮김],책세상,2005,자료실
음악적 아름다움에 대하여,에두아르트 한슬리크 [지음] ; 이미경 [옮김],책세상,2004,자료실
(G.W.F. 헤겔)교수취임 연설문,G.W.F. 헤겔 [지음] ; 서정혁 [옮김],책세상,2004,자료실
나의 개인주의 외,나쓰메 소세키 [지음] ; 김정훈 [옮김],책세상,2004,자료실
남부 문제에 대한 몇 가지 주제들 외,안토니오 그람시 [지음] ; 김종법 [옮김],책세상,2004,자료실
도덕의 기초에 관하여,아르투르 쇼펜하우어 [지음] ; 김미영 [옮김],책세상,2004,자료실
과진론·치안책,가의 [지음] ; 허부문 [옮김],책세상,2004,자료실
황제내경,황제 [지음] ; 이창일 [옮김],책세상,2004,자료실
문화과학과 자연과학,하인리히 리케르트 [지음] ; 이상엽 [옮김],책세상,2004,자료실
대중 문학론,안토니오 그람시 [지음] ; 박상진 [옮김],책세상,2003,자료실
에밀,장 자크 루소 [지음] ; 박호성 [옮김],책세상,2003,자료실
성세위언,정관잉 [지음] ; 이화승 [옮김],책세상,2003,자료실
행성궤도론,G.W.F. 헤겔 [지음] ; 박병기 [옮김],책세상,2003,자료실
논어,공자의 문도들 [엮음] ; 조광수 [옮김],책세상,2003,자료실
기적에 관하여,데이비드 흄 [지음] ; 이태하 [옮김],책세상,2003,자료실
인간 불평등 기원론,"장 자크 루소 [지음] ; 주경복 , 고봉만 [공]옮김",책세상,2003,자료실
인설,주희 [지음] ; 임헌규 [옮김],책세상,2003,자료실
경험으로서의 예술,존 듀이 [지음] ; 이재언 [옮김],책세상,2003,자료실
체험·표현·이해,빌헬름 딜타이 [지음] ; 이한우 [옮김],책세상,2002,자료실
정몽,장재 [지음] ; 장윤수 [옮김],책세상,2002,자료실
도덕 형이상학을 위한 기초 놓기,임마누엘 칸트 [지음] ; 이원봉 [옮김],책세상,2002,자료실
공산당선언,마르크스;프리드리히 엥겔스,책세상,2002,자료실
맹자,맹가 [지음] ; 안외순 [옮김],책세상,2005,자료실
성무애락론,혜강 [지음] ; 한흥섭 [옮김],책세상,2002,자료실
신학-정치론,베네딕트 데 스피노자 [지음] ; 김호경 [옮김],책세상,2002,자료실
언어 기원에 관한 시론,"장 자크 루소 [지음] ; 주경복 , 고봉만 [옮김]",책세상,2002,자료실
순자,순자 [지음] ; 장현근 [옮김],책세상,2002,자료실
전 세계적 자본주의인가 지역적 계획경제인가 외,칼 폴라니 [지음] ; 홍기빈 [옮김],책세상,2002,자료실
행정의 공개성과 정치 지도자 선출 외,막스 베버 [지음] ; 이남석 [옮김],책세상,2002,자료실
사회주의란 무엇인가 외,에두아르트 베른슈타인 [지음] ; 송병헌 [옮김],책세상,2002,자료실
조형미술과 자연의 관계,F.W.J. 셸링 [지음] ; 심철민 [옮김],책세상,2002,자료실
인류의 역사철학에 대한 이념,J.G. 헤르더 [지음] ; 강성호 [옮김],책세상,2002,자료실
인문학의 구조 내에서 상징형식 개념,에른스트 카시러 [지음] ; 오향미 [옮김],책세상,2002,자료실
피렌체 찬가,레오나르도 브루니 [지음] ; 임병철 [옮김],책세상,2002,자료실
논리학 서론.철학백과 서론,G.W.F. 헤겔 [지음] ; 김소영 [옮김],책세상,2002,자료실
혁명 시대의 역사 서문 외,야콥 부르크하르트 [지음] ; 최성철 [옮김],책세상,2002,자료실
조국이 위험에 처하다 외,앙리 브리사크 [외]지음 ; 서이자 [옮김],책세상,2002,자료실
사회 개혁이냐 혁명이냐,"로자 룩셈부르크 [지음] ; 김경미 , 송병헌 [해제]",책세상,2002,자료실
순수이성 비판 서문,임마누엘 칸트 [지음] ; 김석수 [옮김],책세상,2002,자료실
인간 정신의 진보에 관한 역사적 개요,마르퀴 드 콩도르세 [지음] ; 장세룡 [옮김],책세상,2002,자료실
학자의 사명에 관한 몇 차례의 강의,요한 G. 피히테 [지음] ; 서정혁 [옮김],책세상,2002,자료실
민족이란 무엇인가,에르네스트 르낭 [지음] ; 신행선 [옮김],책세상,2002,자료실
청춘의 문장들,김연수,마음산책,2004,자료실
책을 버리고 거리로 나가자,데라야마 슈지 [지음] ; 김성기 [옮김],이마고,2005,자료실
책 읽는 소리,정민,마음산책,2002,자료실
작가와 비평 3호(2005년 상반기) - 비평의 위기와 문학주의,작가와비평 [편],여름언덕,2005,자료실
장외인간. 2,이외수,해냄,2005,자료실
장외인간. 1,이외수,해냄,2005,자료실
이중설계. 2: 천 년의 약속,프레데릭 르누아르 ; 비올레트 카브소 [지음] ; 이재형 [옮김],예담,2005,자료실
이중설계. 1: 몽생미셸의 지하,프레데릭 르누아르 ; 비올레트 카브소 [지음] ; 이재형 [옮김],예담,2005,자료실
이갈리아의 딸들,게르드 브란튼베르그 [지음] ; 노옥재...[등]옮김,황금가지,2005,자료실
이웃의 가난은 나의 수치입니다,아베 피에르 [지음] ; 김주경 [옮김],우물이 있는 집,2004,자료실
유혹하는 글쓰기,스티븐 킹 [지음] ; 김진준 [옮김],김영사,2005,자료실
(4주간의) 국어여행,남영신,성안당,2005,자료실
(채승우의 사진교실) 사진이 즐거워지는 사진책,채승우,넥서스BOOKS,2005,자료실
사상의 자유의 역사,존B. 베리 [지음] ; 박홍규 [옮김],바오,2005,자료실
사람으로부터 편안해지는 법,소노 아야코 [지음] ; 오경순 [옮김],리수,2005,2층 자료실
탐욕과 오만의 동물실험,"레이 그릭 , 진 스윙글 그릭 [공저] ; 김익현 , 안기홍 [공]옮김",다른세상,2005,자료실
(하리하라의) 생물학 카페,이은희,궁리,2005,자료실
(야생의 순례자) 시튼,어니스트 톰슨 시튼 [지음] ; 작은우주 [옮김],달팽이,2005,자료실
(내 이름은) 빨강. 2,오르한 파묵 [지음] ; 이난아 [옮김],민음사,2005,자료실
(내 이름은) 빨강. 1,오르한 파묵 [지음] ; 이난아 [옮김],민음사,2005,자료실
가족. 2,이창래 [지음] ; 정영문 [옮김],랜덤하우스중앙,2005,자료실
가족. 1,이창래 [지음] ; 정영문 [옮김],랜덤하우스중앙,2005,자료실
살아있어 미안하다,프레데리크 베그베데 [지음] ; 한용택 [옮김],문학사상사,2005,자료실
생각 발전소,옌스 죈트겐 [지음] ; 도복선 [옮김],북로드,2005,자료실
시와 그림의 황홀경-뭉크에서 고은까지,조용훈,문학동네,1999,2층 자료실
비틀즈시집,비틀즈 [지음] ; 강서일 [옮김],더불어책,2004,자료실
바람의 그림자. 2,카를로스 루이스 사폰 [지음] ; 정동섭 [옮김],문학과지성사,2005,자료실
바람의 그림자. 1,카를로스 루이스 사폰 [지음] ; 정동섭 [옮김],문학과지성사,2005,자료실
(클라시커 50)현대소설,요아힘 숄 [지음] ; 박영구 [옮김],해냄,2002,자료실
(클라시커 50)고전소설,바르바라 지히터만 ; 요하임 숄 [공저] ; 두행숙 [옮김],해냄,2003,자료실
흉터와 무늬,최영미,랜덤하우스중앙,2005,자료실
金文喆展,김문철,경인미술관,2000,자료실
녹색평론선집. 1,金鍾哲 [編],녹색평론사,1993,2층 자료실
나의 문화유산답사기,유홍준,창작과비평사,1993,자료실
다빈치 코드의 진실 : 해설편,마틴 룬 [지음] ; 이주영 [옮김],예문,2004,자료실
백산학원 50년사,백산학원 50년사 편찬위원회 [편],백산학원,1999,자료실
全州女高 七十年史 1926~1996,全州女子高等學校同窓會 [編],全州女高同窓會,1996,자료실
朝鮮大學校五十年史,朝鮮大學校50年史編纂委員會 [編],朝鮮大學校,1997,자료실
동물농장.1984년,조지 오웰 [지음] ; 최윤영 [옮김],혜원,2000,자료실
위대한 개츠비,F. 스콧 피츠제럴드 [지음] ; 김욱동 [옮김],민음사,2004,민음사 전집
과학혁명의 구조,토머스 S. 쿤,(주)까치글방,2002,2층 자료실
초급 일본어,한국일본어문학회 [편],태학사,1999,자료실
아카데미 TOEFL,"김인숙, 이봉삼 [공]지음",아카데미문화사,1984,자료실
언어와 대중매체,이태영...[등저],신아,2000,자료실
Farewell to reason,Paul Feyerabend,Verso,1987,자료실
Beginnings,Edward W. Said,The Johns Hopkins University,1975,자료실
Theory of Literature,"Rene Wellek , Austin Warren",Penguin Book,1966,자료실
"Women, Fier, and Dangerous Things",George Lakoff,The University of Chicago,1987,자료실
삼한지. 10: 나당대전,김정산,랜덤하우스중앙,2005,자료실
"삼한지. 9: 아아, 백제여!",김정산,랜덤하우스중앙,2005,자료실
삼한지. 8: 전란은 끝이 없어라,김정산,랜덤하우스중앙,2005,자료실
삼한지. 7: 도망가는 당태종,김정산,랜덤하우스중앙,2005,자료실
삼한지. 6: 새로운 영웅들,김정산 [지음],랜덤하우스중앙,2005,자료실
삼한지. 5: 여왕시대,김정산 [지음],랜덤하우스중앙,2005,자료실
삼한지. 4: 사비에 이는 서기,김정산 [지음],랜덤하우스중앙,2005,자료실
삼한지. 3: 살수에 뜨는 별,김정산 [지음],랜덤하우스중앙,2005,자료실
삼한지. 2: 마동왕자 서동대왕,김정산 [지음],랜덤하우스중앙,2005,자료실
삼한지. 1: 밤이 깊을수록 별은 빛나고,김정산 [지음],랜덤하우스중앙,2005,자료실
Metaphors We Live By,George Lakoff ; Mark Johnson,The University of Chicago,1980,자료실
After th new Criticism,Frank Lentricchia,The University of Chicago,1980,자료실
호남신학대학교 45년사,호남신학대학교 45년사 편찬위원회 [편],호남신학대학교,2002,자료실
"와인즈버그, 오하이오","앤더슨, 셔우드",學園社,1988,2층 자료실
"(좋은글, 좋은말을 위한)우리말 활용 사전",조항범,예담,2005,자료실
(감동과 교훈이 있는 이야기)깜,이문영,주변인의 길,2005,자료실
디지털 포트리스. 2,댄 브라운 [지음] ; 이창식 [옮김],대표베텔스만,2005,자료실
디지털 포트리스. 1,댄 브라운 [지음] ; 이창식 [옮김],대교베텔스만,2005,자료실
포세이돈. 5: 진 시황제와 만리 장성 : 진.한 제국과 위진 남북조,송명호 [글] ; 최병선 [그림],용진,1990,자료실
(중·고등학생)장애이해 교육,우이구...[등저],국립특수교육원,2004,자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,2층 자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,2층 자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,2층 자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,2층 자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,2층 자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,2층 자료실
(미래를 여는)역사,한중일3국공동역사편찬위원회 [지음],한겨레신문사,2005,2층 자료실
韓國 民族主義의 探究,宋建鎬,한길사,1985,자료실
꿈을 사는 여자와 아름다움을 사는 여자,다이몬 카즈오 [지음] ; 김권 [옮김],중앙교육연구원,1996,2층 자료실
(일본전국을 통일한)3人 영웅전,이케나미 쇼타로 [지음] ; 이성범 [옮김],제이앤씨,2001,자료실
(한권으로 읽는)조선왕조실록,박영규 [지음],들녘,1996,자료실
예수님도 한잔 하시죠!,이광우,예영커뮤니케이션,2001,자료실
分斷時代의 歷史認識,姜萬吉,創作과 批評社,1974,자료실
(The) Canterbury Tales,Geoffrey Chaucer,Longman,1997,자료실
책 말하는 책,한국출판인회의 [편],한국출판인회의,2005,자료실
상생의 문화를 여는 길,안운산,대원출판,2005,자료실
개벽을 대비하라,안경전,대원출판,2004,자료실
國家競爭力과 敎育의 秀越性,서울대학교총동창회 [편],삶과꿈,2005,자료실
國家競爭力과 敎育의 秀越性,서울대학교총동창회 [편],삶과꿈,2005,자료실
한국 현대사의 허구와 진실,교과서포럼 [편],두레시대,2005,자료실
현대 수학의 아버지 힐베르트,콘스탄스 리드 [지음] ; 이일해 [옮김],사이언스북스,2005,자료실
한국 한문학 연구의 새 지평,이혜순...[등]엮음,소명,2005,자료실
(에드윈 윌슨의)연극의 이해,에드윈 윌슨 [지음]; 채윤미 [옮김],예니,1998,자료실
나무의 회상록,뀌도 미나 디 쏘스피로 [지음] ; 박선옥 [옮김],눈과마음,2005,자료실
"(재미가 솔솔, 지식이 쑥쑥!)수학 비타민",박경미,랜덤하우스중앙,2003,자료실
마야,송영복,상지사,2005,자료실
(成文)理化學辭典,金昞熙...[등]編輯,한국사전연구사,1997,2층 자료실
깜삐돌리오 언덕에 앉아 그림을 그리다,오영욱 [글.그림],샘터,2005,자료실
마음,나쓰메소세키 [지음] ; 박유하 [옮김],웅진닷컴,2002,자료실
(살아있는 모든것의 정복자) 곤충,메이 R. 베렌바움 [지음] ; 윤소영 [옮김],다른세상,2005,자료실
질병은 문명을 만든다,헨리 지거리스트 [지음] ; 이희원 [옮김],몸과마음,2005,자료실
플라톤 영화관에 가다,조광제,디딤돌,2005,자료실
(디즈니랜드에서)수학을 배우자,나카다 노리오 [지음] ; 김미옥 [옮김],이지북,2001,자료실
당나귀는 당나귀답게,아지즈 네신 [지음] ; 이난아 [옮김] ; 이종균 [그림],푸른숲,2005,자료실
유미유동 : 청나라 정부의 조기유학 프로젝트,첸강 ; 후징초 [공저] ; 이정선 ; 김승룡 [공]옮김,시니북스,2005,자료실
지구도 감기에 걸린다?,신현정 ; 함석진 [공저],북로드,2005,자료실
촘스키의 이해. 1,이선우,한국문화사,2005,자료실
(지도자가 되기 위한)과학여행지,임상훈,고원,2004,자료실
나는 아직 도착하지 않았다. 2,사와키 고타로 [지음] ; 이혁재 [옮김],재인,2004,자료실
나는 아직 도착하지 않았다. 1,사와키 고타로 [지음] ; 이혁재 [옮김],재인,2005,자료실
사랑과 죽음의 교향곡 : 브루노 말러가 만난 구스타프 말러,브루노 발터 [지음] ; 김병화 [옮김],마티,2005,자료실
과학책 읽는 소리,과학독서아카데미,지성사,2004,자료실
"야만과 문명, 누가 살아남을 것인가?",잭 웨더포드 [지음] ; 권루시안 [옮김],이론과실천,2005,자료실
지구가 정말 이상하다,이기영,살림,2005,자료실
(생각하는 그림들)정,이주헌,예담,2004,자료실
(생각하는 그림들)오늘,이주헌,예담,2005,자료실
지구를 둥글게 만든 사람들 : 아버지와 함께 읽는 세계 탐험 이야기,그림나무 [글.그림],푸른숲,2005,자료실
제국주의와 남성성 : 19세기 영국의 젠더 형성,박형지 ; 설혜심 [공저],아카넷,2004,자료실
한눈에 보는 조각사 : 원시미술에서 설치미술까지,김석,지엔씨미디어,2005,자료실
항생제 중독,고와카 준이치 ; 미야지마 히데키 ; 테라사와 마사히코 [공저] ; 생협전국연합회 [옮김],시금치,2005,자료실
정간보로 읽는 옛노래,김세중,예솔,2005,자료실
생명이 있는 것은 다 아름답다,최재천,효형,2005,자료실
에이브러햄 링컨,해리 마이하퍼 [지음] ; 염정민 [옮김],이매진,2005,자료실
Jane Eyre,Charlotte Bronte,Oxford University,2000,자료실
Tess of the d'Urbervilles,Thomas Hardy,Oxford University,2000,자료실
Olivr Twist,Charles Dickens,Oxford University,2000,자료실
Cry Freedom,John Briley,Oxford University,2000,자료실
David Copperfield,Charles Dickens,Oxford University,2000,자료실
Far From The Madding Crowd,Thomas hardy,Oxford University,2000,자료실
Wuthering Heights,Emily Bronte,Oxford University,2000,자료실
Cranford,Elizabeth Gaskell,Oxford University,2000,자료실
Lord Jim,Joseph Conrad,Oxford University,2000,자료실
(A) Christmas Carol,Charles Dickens ; Ian Miller [ill.],Oxford University,2000,자료실
(The) Wind in the Willows,Kenneth Grahame ; Jan McCafferty [ill.],Oxford University,2000,자료실
Ethan Frome,Edith Wharton,Oxford University,2000,자료실
옥스퍼드 세계영화사,제프리 노웰-스미스 [책임편집] ; 이순호...[등]옮김,열린책들,2005,자료실
오세영 : 한국 단편 소설과 만남,오세영,청년사,2005,자료실
신경림 시전집. 2,신경림,창비,2004,자료실
신경림 시전집. 1,신경림,창비,2004,자료실
김춘수 시론전집 Ⅱ. 2,김춘수,현대문학,2004,자료실
김춘수 시론전집 Ⅰ. 1,김춘수,현대문학,2004,자료실
김춘수 시전집,김춘수,현대문학,2004,자료실
지구와 우주 : 신화에서 별자리까지,알랭 시루 ; 레일라 아다 [공저] ; 전세철 [옮김],베텔스만,2005,자료실
(알고보면 쉬운)화학반응식,요네야마 마사노부 [지음] ; 송성호 [옮김],이지북,2002,자료실
(사람이 알아야 할 모든것)과학,존 그리빈 [지음] ; 강윤재 ; 김옥진 [공]옮김,들녘,2004,자료실
(알베르트)아인슈타인,토머스 레벤슨 [지음] ; 김혜원 [옮김],해냄,2005,자료실
과학공화국 물리법정. 2: 응용물리편,정완상,자음과모음,2005,자료실
과학공화국 물리법정,정완상,자음과모음,2005,자료실
(그리니치 천문대에서)수학을 배우자,나카다 노리오 [지음] ; 김미옥 [옮김],이지북,2001,자료실
(조지 가모브)물리열차를 타다,조지 가모브 [지음] ; 승영조 [옮김],승산,2005,자료실
화학의 시대,필립 볼 [지음] ; 고원용 [옮김],사이언스북스,2004,자료실
(미국 인디언 멸망사)나를 운디드니에 묻어주오,디 브라운 [지음] ; 최준석 [옮김],나무심는사람,2002,자료실
과학의 탄생,야마모토 요시타카 [지음] ; 이영기 [옮김],동아시아,2005,자료실
(살아 있는)지구의 역사,리처드 포티 [지음] ; 이한음 [옮김],까치글방,2005,자료실
황무지,T.S. 엘리엇 [지음] ; 황동규 [옮김],민음사,2005,자료실
한문의 생활력,가토 도루 [지음] ; 유준칠 [옮김],수희재,2005,자료실
천국에서 만난 다섯사람,미치 앨봄 [지음] ; 공경희 [옮김],세종서적,2005,자료실
문학의 숲을 거닐다,장영희,샘터,2005,자료실
아름다운 우리 수필,이태동 [엮음],문예,2005,자료실
나타샤와 자작나무,송호근,하늘연못,2005,자료실
객관성의 칼날,찰스 길리스피 [지음] ; 이필렬 [옮김],새물결,1999,자료실
보이는 어둠,월리엄 스타이런 [지음] ; 임옥희 [옮김],문학동네,2004,자료실
살아남은 것은 다 이유가 있다,더글러스 W. 모크 [지음] ; 정성묵 [옮김],산해,2005,자료실
과학으로 수학보기 ; 수학으로 과학보기,김희준 ; 김홍종 [공저],궁리,2005,자료실
한미동맹 50년,차상철,생각의 나무,2004,자료실
정신분석 사전,장 라플랑슈 ; 장 베르트랑 퐁탈리스 [공저] ; 임진수 [옮김],열린책들,2005,자료실
정지용 전집. 2: 산문,정지용,민음사,2005,자료실
정지용 전집. 1: 시,정지용,민음사,2005,자료실
유대인의 역사. 3: 홀로코스트와 시오니즘,폴 존슨 [지음] ; 김한성 [옮김],살림,2005,자료실
유대인의 역사. 2: 유럽의 역사를 바꾸다,폴 존슨 [지음] ; 김한성 [옮김],살림,2005,자료실
유대인의 역사. 1: 성경 속의 유대인들,폴 존슨 [지음] ; 김한성[옮김],살림,2005,자료실
열정과 기질,하워드 가드너 [지음] ; 임재서 [옮김],북스넛,2004,자료실
지문사냥꾼,이적,웅진씽크빅,2005,자료실
춤,박형준,창비,2005,자료실
현대의학의 역사,제임스 르 파누 [지음] ; 조윤정 [옮김],아침이슬,2005,자료실
인간에 대한 철학적 성찰,소광희...[등저],문예,2005,자료실
아프리카인,르 클레지오 [지음] ; 최애영 [옮김],문학동네,2005,자료실
식객. 9: 홍어를 찾아서,허영만 [글.그림],김영사,2005,자료실
식객. 8: 죽음과 맞바꾸는 맛,허영만 [글.그림],김영사,2005,자료실
식객. 7: 요리하는 남자,허영만 [글.그림],김영사,2005,자료실
식객. 6: 마지막 김장,허영만 [글.그림],김영사,2005,자료실
식객. 5: 술의 나라,허영만 [글.그림],김영사,2005,자료실
식객. 4: 잊을 수 없는 맛,허영만 [글.그림],김영사,2005,자료실
식객. 3: 소고기 전쟁,허영만 [글.그림],김영사,2005,자료실
식객. 2: 진수성찬을 차려라,허영만 [글.그림],김영사,2005,자료실
식객. 1: 맛의 시작,허영만 [글·그림],김영사,2005,자료실
우리 근대미술 뒷이야기,이구열,돌베개,2005,자료실
폭풍의 언덕,에밀리 브론테 [지음] ; 김종길 [옮김],민음사,2005,민음사 전집
