자료명,저자,출판사,출판년도,소장처
삶이 괴로울 땐 공부를 시작하는 것이 좋다,박치욱 지음,Whale Books,2023,자료실
삶이 괴로울 땐 공부를 시작하는 것이 좋다,박치욱 지음,Whale Books,2023,자료실
(당신의 삶을 떠받치고 당신을 살아가게 하는) 보편의 단어,이기주 지음,말글터,2024,자료실
찌그러져도 동그라미입니다,김창완 지음,웅진지식하우스,2024,자료실
이반 일리치의 죽음,레프 톨스토이 지음; 김연경 옮김,민음사,2023,민음사 전집
이반 일리치의 죽음,레프 톨스토이 지음; 김연경 옮김,민음사,2023,민음사 전집
누구 먼저 살려야 할까?,제이콥 M. 애펠 지음; 김정아 옮김,한빛비즈,2021,자료실
깊이에의 강요,파크리크 쥐스킨트 지음; 김인순 옮김,열린책들,2020,자료실
시를 어루만지다,김사인 편저; 김정욱 사진,b,2013,자료실
어린 당나귀 곁에서,김사인 지음,창비,2015,자료실
슬픔 없는 나라로 너희는 가서,김사인 엮음,문학동네,2019,자료실
책기둥,문보영 지음,민음사,2017,자료실
무구함과 소보로,임지은 지음,문학과지성사,2019,자료실
비에 도착하는 사람들은 모두 제시간에 온다,신용목 지음,문학동네,2021,신착도서
꿀잼 토론 전략,김건우 지음,푸른들녘,2023,자료실
미래를 읽다 과학이슈 11. 15: season,한상욱 외 10명 지음,동아엠앤비,2024,자료실
갈팡질팡 청년의사 성장기,허기영 지음,푸른들녘,2018,자료실
"내 몸의 설계자, 호르몬 이야기",박승준 지음,청아출판사,2022,자료실
혐오스런 선데이 클럽,엄성용 지음,안전가옥,2023,자료실
잘못된 단어,르네 피스터 지음; 배명자 옮김,문예출판사,2024,자료실
코딩 없이 배우는 데이터 과학,황보현우; 한노아 지음,BM성안북스,2023,자료실
한배를 탄 지구인을 위한 가이드,크리스티아나 피게레스; 톰 리빗카넥 지음; 홍한결 옮김,김영사,2020,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
클라라와 태양,가즈오 이시구로 지음; 홍한별 옮김,민음사,2021,자료실
일반물리학,Raymond A. Serway; Chris Vuille 원저; 일반물리학 교재편찬위원회 번역,북스힐,2024,자료실
일반물리학,Raymond A. Serway; Chris Vuille 원저; 일반물리학 교재편찬위원회 번역,북스힐,2024,자료실
무기화학,Gary L. Miessler; Paul J. Fischer; Donald A. Tarr 지음; 김주창 외 옮김,자유아카데미,2013,자료실
분석화학,Daniel C. Harris 외 지음; 강용철 외 옮김,자유아카데미,2021,자료실
프리드버그 선형대수학,스티븐 H. 프리드버그 외 지음; 한빛수학교재연구소 옮김,한빛아카데미,2020,자료실
일반 물리학,손종역 외 지음,교문사,2024,자료실
"Kreyszig 공업수학. 하: Fourier 해석·편미분방정식·복소해석·수치해석·최적화, 그래프",Erwin Kreyszig 지음; 서진헌 [외] 옮김,텍스트북스,2022,자료실
Kreyszig 공업수학. 상: 상미분방정식·선형대수·벡터미적분,Erwin Kreyszig 지음; 서진헌 [외] 옮김,텍스트북스,2022,자료실
황금종이. 2,조정래 지음,해냄,2023,자료실
황금종이. 1,조정래 지음,해냄,2023,자료실
각각의 계절,권여선 지음,문학동네,2023,자료실
모순,양귀자 지음,쓰다,2021,자료실
모순,양귀자 지음,쓰다,2021,자료실
"설자은, 금성으로 돌아오다",정세랑 지음,문학동네,2023,자료실
나는 소망한다 내게 금지된 것을,양귀자 지음,쓰다,2019,자료실
나는 소망한다 내게 금지된 것을,양귀자 지음,쓰다,2019,자료실
너의 목소리가 들려,김영하 지음,복복서가,2022,자료실
재와 물거품,김청귤 지음,안전가옥,2021,자료실
대불호텔의 유령,강화길 지음,문학동네,2021,자료실
오로라,최진영 지음,위즈덤하우스,2024,자료실
미래의 조각 외,정영수 [외] 지음,현대문학,2023,자료실
계속해보겠습니다,황정은 지음,창비,2014,자료실
(현대문학 교수 350명이 뽑은) 2023 올해의 문제소설,한국현대소설학회 엮음,푸른사상,2023,자료실
내게 무해한 사람,최은영 지음,문학동네,2018,자료실
최후의 만찬,서철원 지음,다산책방,2020,자료실
권력과 인간,정병설 지음,문학동네,2023,자료실
권력과 인간,정병설 지음,문학동네,2023,자료실
권력과 인간,정병설 지음,문학동네,2023,자료실
약리학,"Ian Peate, Barry Hill; 김학림 [외] 옮김",한올,2024,자료실
"(박시백의) 고려사. 4: 대몽항쟁의 끝, 부마국 고려",박시백 지음,휴머니스트,2023,자료실
(셀프트래블)이탈리아,송윤경 지음,상상출판,2024,자료실
나의 문화유산답사기. 12: 서울편4: 강북과 강남,유홍준 지음,창비,2022,자료실
나의 문화유산답사기. 11: 서울편 3: 사대문 안동네,유홍준 지음,창비,2022,자료실
생명과 약의 연결고리,김성훈 지음,웅진지식하우스,2023,자료실
이토록 굉장한 세계,에드 용 지음; 양병찬 옮김,어크로스,2023,자료실
플라잉,임재한 지음,어크로스,2023,자료실
마법의 비행,리처드 도킨스 지음; 야나 렌초바 그림; 이한음 옮김,을유문화사,2022,자료실
