No,자료유형,등록번호,자료명,저자,출판사,출판년도,청구기호,자료상태,소장처,화폐구분,가격,ISBN
17,단행본,KM00149059,삶은 그렇게 납작하지 않아요,김나리 지음,ㅊㄴㅁ(책나물),2024,818 김192ㅅ,대출가능,신착도서,￦,18000,9791192441191
18,단행본,KM00149058,삶의 발명,정혜윤 지음,위고,2023,814.6 정94ㅅ,대출가능,신착도서,￦,17000,9791193044070
19,단행본,KM00149057,"인구 감소, 부의 대전환",전영수 지음,21세기북스,2024,331.32 전64ㅇ,대출가능,신착도서,￦,22000,9791171174935
20,단행본,KM00149056,다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,429 이57ㄷ c.2,대출가능,자료실,￦,20000,9791192979083
21,단행본,KM00149055,과학을 보다. 2,김범준 [외] 지음; 김지원 그림,알파미디어,2024,400 김44ㄱ v.2,대출가능,신착도서,￦,19800,9791191122633
22,단행본,KM00149054,(기초부터 탄탄하게) 처음 듣는 의대 강의,안승철 지음,궁리,2018,510.1 안57ㅊ,대출중,신착도서,￦,15000,9788958205579
23,단행본,KM00149053,의대를 꿈꾸는 대한민국의 천재들,이종훈 지음,한언,2020,510.4 이75ㅇ3,대출가능,신착도서,￦,14000,9788955968996
24,단행본,KM00149052,생명의 물리학,찰스 S. 코켈 지음; 노승영 옮김,열린책들,2021,476 코874ㅅ노,대출중,신착도서,￦,25000,9788932921136
25,단행본,KM00149051,다중물리 3차원 해석,이승배; 이철희 공지음,Yas (야스),2024,429 이57ㄷ,대출가능,신착도서,￦,20000,9791192979083
26,단행본,KM00149050,수학은 어떻게 문명을 만들었는가,마이클 브룩스 지음; 고유경 옮김,Bronstein,2022,410.9 브296ㅅ고,대출가능,신착도서,￦,22000,9791140800285
27,단행본,KM00149049,화이트홀,카를로 로벨리 지음; 김정훈 옮김,쌤앤파커스,2024,443.887 로44ㅎ김,대출가능,신착도서,￦,18000,9791165349936
28,단행본,KM00149048,처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.6,대출가능,자료실,￦,12000,9788933704370
29,단행본,KM00149047,처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.5,대출가능,자료실,￦,12000,9788933704370
30,단행본,KM00149046,처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.2,대출가능,자료실,￦,12000,9788933704370
31,단행본,KM00149045,처음 만나는 문화인류학,한국문화인류학회,일조각,2003,389 한16ㅊ c.4,대출가능,자료실,￦,12000,9788933704370
